key,description
ChangePlansBF3,"Did you change your plans to shop in a particular store in the last 7 days because of the heightened risk during crowded shopping times? 1 = no, 2 = yes"
CelebrateTG,"Did you celebrate Thanksgiving? 1 = no, 2 = yes"
PrecautionTG,"If you celebrated Thanksgiving with people outside of your household, did you take precautions before meeting in person (e.g., quarantining ahead of time, testing beforehand)?"
HowManyTG,How many people did you celebrate Thanksgiving dinner with?
NotHouseHoldTG,How many people were not members of your household?
MaskTG,"If you celebrated Thanksgiving with people outside of your household, did you wear a face mask and/or stay 6 feet away from others (e.g., an outdoor socially distanced Thanksgiving)"
COVIDpositiveTG,"If you celebrated Thanksgiving with people outside of your household, how likely do you think it is that at least one person there was COVID positive?"
WorriedCovidTG1,How worried were you about the possibility of becoming infected with COVID-19?
WorriedCovidTG2,How worried were you about the possibility that you could infect others with COVID-19?
CancelTG,"Did you decide to avoid celebrating Thanksgiving because of COVID-19 related concerns? 1 = no, 2 = yes, 3 = other reason"
SchoolChild,Do you have any school-aged children who may be returning to in-person school in the next few weeks?
SchoolConcern,"Given the current state of the pandemic where you live, how concerned are you at the prospect of your children physically returning to school?"
SchoolMethod,"What is/will be your children's method of schooling?  1 = in-person, 2 = online, 3 = mixed in-person and online, 4 = homeschool, 5 = other"
PreferredMethod,"Is this your preferred method of schooling? 1 = no, 2 = yes"
Schoolitems1,"If there are children who are attending school in person in your household, please rate your agreement with the following statements - I am comfortable with my children attending school in person as soon as possible"
Schoolitems2,"If there are children who are attending school in person in your household, please rate your agreement with the following statements  - I believe that the benefits granted for my children by attending school in-person outweigh the potential risks associated with COVID-19"
Schoolitems3,"If there are children who are attending school in person in your household, please rate your agreement with the following statements - I have a choice/say in how my children attend school"
Schoolitems4,"If there are children who are attending school in person in your household, please rate your agreement with the following statements - I have obligations that prevent me from keeping my children at home "
ReasonHelp,"What was the reason for giving help? (1=Money, 2= Food or water, 3=Housold supplies, 4=caring ofr someone who was sick, 5=Help with child or dependent care, 6=Emotional support, 7=Other, 8=I have not provided help to people outside my household on the past 30 days)"
PersonHelped,"What is your relationship with the person that you most recently helped? 1 = acquaintance, 2 = friend, 3 = family member, 4 = other"
PresentVfuture1,"Right now I can either focus on the present or focus on the future, but not both"
PresentVfuture2,"Right now when I make decisions, I think about the immediate present"
PresentVfuture3,"Right now when I make decisions, I think about the distant future"
PresentVfuture4,"Right now I can either prioritize my immediate well-being or my long-term well-being, but not both"
FutureImportant,"Right now for me the future is 1 = extremely unimportant, 7 = extremely important"
PresentImportant,"Right now for me the present is 1 = extremely unimportant, 7 = extremely important"
RiskBehavior1,Drinking heavily at a social function.
RiskBehavior2,Engaging in unprotected sex.
RiskBehavior3,Driving a car without wearing a seat belt.
RiskBehavior4,Riding a motorcycle without a helmet.
RiskBehavior5,Sunbathing without sunscreen.
RiskBehavior6,Walking home alone at night in an unsafe area of town.
ReduceCovidRisk1,"To what extent have you tried to reduce the risk of becoming infected with COVID-19 by engaging in protective behaviors since March, 2020?"
ReduceCovidRisk2,"To what extent have the members of your household tried to reduce their risk of becoming infected with COVID-19 by engaging in protective behaviors since March, 2020?"
ReduceCovidRisk3,"To what extent have your friends tried to reduce their risk of becoming infected with COVID-19 by engaging in protective behaviors since March, 2020?"
BothersFriendsRisk,"It bothers me when my friends put themselves at risk of COVID-19 infection (e.g., attending a crowded place indoors, not wearing a mask)"
TimeRiskyFriend,How likely are you to spend time in-person with friends who have put themselves at risk of COVID-19 infection
TimeCarefulFriend,How likely are you to spend time in-person with friends who have been careful about minimizing their risk of COVID-19 infection?
WishFriendsCareful,I wish that my friends were more careful about minimizing their risk of COVID-19 infection so that I could spend more time in-person with them
FriendsConflict,"Some of my friends are more/less careful than others, and that is creating conflict within my circle of friends"
EnjoyHelpFriends,"I enjoy when my friends come to me for help, even if it requires seeing each other in-person and indoors"
BothersHouseRisk,"It bothers me when members of my household put themselves at risk of COVID-19 infection (e.g., attending a crowded place indoors, not wearing a mask)"
WishHouseCareful,I wish that members of my household were more careful about minimizing their risk of COVID-19 infection
HouseConflict,"Some people in my household are more/less careful than others, and that is creating conflict within the members of my household"
RiskBehaviorComposite,Average composite of trait risk proneness
CFC.Future,Average composite of consideration of future consequences
CFC.Immediate,Average composite of consideration of immediate consequences
CFC.Composite,Average composite of consideration of future and immediate consequences
PostVaccineBehavior1,"How likely are you to do each of the following protective behaviors after receiving the COVID-19 vaccine? - Wear a mask in public (e.g., public transport, indoors)"
PostVaccineBehavior2,How likely are you to do each of the following protective behaviors after receiving the COVID-19 vaccine? - Wear mask indoors at friend’s/family’s house
PostVaccineBehavior3,How likely are you to do each of the following protective behaviors after receiving the COVID-19 vaccine? - Wash hands immediately after returning home
PostVaccineBehavior4,"How likely are you to do each of the following protective behaviors after receiving the COVID-19 vaccine? - Social distance (i.e., stay away 6 feet away from others)"
PostVaccineBehavior5,"How likely are you to do each of the following protective behaviors after receiving the COVID-19 vaccine? - Minimizing as much as possible in-person interactions (i.e., only necessary in-person interactions such as grocery shopping)"
PostVaccineBehavior6,"How likely are you to do each of the following protective behaviors after receiving the COVID-19 vaccine? - Quarantine (i.e., completely avoid seeing people in-person outside your household)"
MaskDem,Do you believe that someone wearing a mask is more likely to be a Democrat?
MaskRep,Do you believe that someone not wearing a mask is more likely to be a Republican?
MaskDemAffiliate,Does the possibility that others might interpret you wearing a mask as a sign of political affiliation with Democrats make you more or less likely to wear a mask?
MaskRepAffiliate,Does the possibility that others might interpret you not wearing a mask as a sign of political affiliation with Republicans make you more or less likely to wear a mask?
Reactance1,"When someone tells me what to do, I feel like doing precisely the opposite"
Reactance2,Rules and regulations provoke some kind of resistance in me
Reactance3,"When somebody tells me not to do something, I react by thinking that is exactly what I want to do"
Reactance4,I react negatively when others try to tell me what to do
Entitlement1,I honestly feel I’m just more deserving than others
Entitlement2,Great things should come to me
Entitlement3,"If I were on the Titanic, I would deserve to be on the first lifeboat! "
Entitlement4,I demand the best because I’m worth it
Entitlement5,I do not necessarily deserve special treatment
Entitlement6,I deserve more things in my life
Entitlement7,People like me deserve an extra break now and then
Entitlement8,Things should go my way
Entitlement9,I feel entitled to more of everything
HowMuchSleep,"How much have you been sleeping? 1 = less than usual, 3 = about the same, 5 = more than usual "
HourSleep,How many hours of actual sleep did you get at night? (This may be different than the number of hours you spend in bed). 
QualitySleep,"How would you rate the quality of your sleep? 1 = poor/unrefreshing, 3 = acceptable, 5 = excellent, restful/refreshing"
SleepExperiences1,"Have you experienced any of the following more than usual? - Strange or vivid dreams (1=No, 2=Yes)"
SleepExperiences2,"Have you experienced any of the following more than usual? - Nightmares or night terrors (1=No, 2=Yes)"
SleepExperiences3,"Have you experienced any of the following more than usual? - Lack of dreams (1=No, 2=Yes)"
SleepExperiences4,"Have you experienced any of the following more than usual? - Bouts of insomnia (1=No, 2=Yes)"
SleepExperiences5,"Have you experienced any of the following more than usual? - Trouble falling asleep (1=No, 2=Yes)"
SleepExperiences6,"Have you experienced any of the following more than usual? - Trouble staying asleep (1=No, 2=Yes)"
SleepExperiences7,"Have you experienced any of the following more than usual? - Change in your sleep schedule (for e (1=No, 2=Yes)xample, going to bed later)"
HowFastYear,"How fast did this past year go by? 1 = very slowly, 5 = very quickly"
NewPandemic,"How likely is another pandemic that is as or more damaging (e.g. loss of life, economic impact) as COVID-19 in the next 100 years?"
TimeTilNewPandemic,"How long will it be before another pandemic happens that is as or more damaging than COVID-19? 1 = wtihin 1 year, 2 = 5 years, 3 = 10 years, 4 = 50 years, 5 = 100 years, 6 = 200 years, 7 = 500 years, 8 = Longer"
PandemicExtinction,How likely is a future pandemic that could cause human extinction (everyone dying) or destroy human civilization in the next 100 years?
GovernmentPandemic,How much can government action minimize the damage from future pandemics?
IndividualPandemic,How much can individual action minimize the damage from future pandemics?
CausesExtinction1,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:   - Global thermonuclear war
CausesExtinction2,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - Global warming/climate change/environment destruction
CausesExtinction3,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - Naturally occurring pandemic
CausesExtinction4,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - Bioweapons that cause a pandemic
CausesExtinction5,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - Super intelligent AI
CausesExtinction6,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - Asteroid hitting Earth
CausesExtinction8,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - How likely will human civilization still exist in 100 years?
CausesExtinction9,"How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - Enter any other danger that could cause extinction, and the percent chance:"
CausesExtinction10,"Enter any other danger that could cause extinction, and the percent chance:"
ReactanceComposite,average composite of trait reactance
EntitlementComposite,average composite of trait psychological entitlement
MaskMouthNose,"For preventing the spread of COVID19, how important is it to wear a mask covering both mouth and nose, compared to just covering the mouth? (1=not at all important; 7=very important)"
NotCoverNose,"How often do you wear a mask around others in public indoors where your mouth is covered but your nose is exposed? (1=never, 4=half the time, 7=always)"
FeelOthersNose,"When you see a person indoors wearing a mask with their nose uncovered, how does this make you feel about that person? (1=much more negatively; 4=no difference; 7=much more positively)"
AloneTime,"About how much time do you currently spend by yourself each week? (1= 0-10%, 10=91-100%)"
AloneTimeSatisfied,"Since the beginning of the pandemic, have you been satisfied with the amount of time you spend alone? (1=no, I would like less alone time;   3=Somewhat;   5=no, I would like more alone time)"
WrongMaskIntention,"When you see a person indoors wearing a mask with their nose uncovered, how likely do you think it is that they are intentionally wearing their mask like this? (1=Not at all; 7=Extremely)"
WrongMaskComfort,"If a person intentionally wears a mask indoors with their nose uncovered, to what extent do you think they are doing so for reasons of personal comfort? (1=Not at all; 7=Extremely)"
WrongMaskComply,"WrongMaskComply.6 If a person intentionally wears a mask indoors with their nose uncovered, to what extent do you think they are doing so to 'comply' with a mask requirement that they personally disagree with? (1=Not at all; 7=Extremely)"
Big5.1,I am the life of the party (1=Strongly disagree; 7=Strongly agree)
Big5.2,I talk to a lot of different people at parties. (1=Strongly disagree; 7=Strongly agree)
Big5.3,I don’t talk a lot. (1=Strongly disagree; 7=Strongly agree)
Big5.4,I keep in the background. (1=Strongly disagree; 7=Strongly agree)
Big5.5,I sympathize with others’ feelings (1=Strongly disagree; 7=Strongly agree)
Big5.6,I feel others’ emotions. (1=Strongly disagree; 7=Strongly agree)
Big5.7,I am not really interested in others. (1=Strongly disagree; 7=Strongly agree)
Big5.8,I am not interested in other people’s problems. (1=Strongly disagree; 7=Strongly agree)
Big5.9,I get chores done right away.  (1=Strongly disagree; 7=Strongly agree)
Big5.10,I like order. (1=Strongly disagree; 7=Strongly agree)
Big5.11,I often forget to put things back in their proper place.  (1=Strongly disagree; 7=Strongly agree)
Big5.12,I make a mess of things. (1=Strongly disagree; 7=Strongly agree)
Big5.13,I have frequent mood swings.  (1=Strongly disagree; 7=Strongly agree)
Big5.14,I get upset easily.  (1=Strongly disagree; 7=Strongly agree)
Big5.15,I am relaxed most of the time. (1=Strongly disagree; 7=Strongly agree)
Big5.16,I seldom feel blue.  (1=Strongly disagree; 7=Strongly agree)
Big5.17,I have a vivid imagination. (1=Strongly disagree; 7=Strongly agree)
Big5.18,I have difficulty understanding abstract ideas. (1=Strongly disagree; 7=Strongly agree)
Big5.19,I am not interested in abstract ideas.  (1=Strongly disagree; 7=Strongly agree)
Big5.20,I do not have a good imagination. (1=Strongly disagree; 7=Strongly agree)
GreenSettings,"Since March 11, when COVID-19 was declared a global pandemic, have you utilized “green” settings such as parks, gardens, forests, waterbodies, etc. to find peace, relax or de-stress? (1-Never; 2=Sometimes; 3=Often)"
OutdoorRec,"To cope with the disruptions and increased demands of COVID-19, have you turned to outdoor recreation to take care of yourself and support your physical or mental health? (1-Never; 2=Sometimes; 3=Often)
"
RecentForgotten,Have you recently forgotten what day of the week it is? (1=Never; 3=Sometimes; 5=Regularly)
