SourceCountry,TargetCountry,Type,Total,Coal,Oil,NaturalGas,Electricity
VUT,NCL,Export,0.0000473,0,0.0000473,0,0
TUV,PAK,Export,0.0000473,0,0.0000473,0,0
ASM,WSM,Import,0.0000502,0.0000502,0,0,0
WSM,ASM,Export,0.0000502,0.0000502,0,0,0
KHM,ARE,Export,0.0000563,0,0.0000563,0,0
IOT,GRC,Import,0.0000577,0,0.0000577,0,0
MSR,CHE,Import,0.0000591,0,0.0000591,0,0
MNG,AUS,Export,0.0000596,0,0.0000596,0,0
TCA,CAN,Import,0.00006,0.00006,0,0,0
BWA,SAU,Export,0.0000604,0.0000604,0,0,0
ATA,ZAF,Export,0.0000615,0,0.0000615,0,0
NCL,FJI,Export,0.0000624,0,0.0000624,0,0
ERI,ZAF,Import,0.0000693,0,0.0000693,0,0
ERI,FRA,Import,0.0000763,0,0.0000763,0,0
BRB,ATG,Export,0.0000792,0,0.0000792,0,0
JAM,CAN,Export,0.0000814,0,0.0000814,0,0
LAO,AUS,Import,0.0000849,0,0.0000849,0,0
ASM,THA,Import,0.0000862,0,0.0000862,0,0
ERI,BEL,Import,0.0000871,0,0.0000871,0,0
LAO,SGP,Export,0.000088,0,0.000088,0,0
SWZ,BHR,Export,0.0000923,0,0.0000923,0,0
WLF,NZL,Import,0.000094,0,0.000094,0,0
ETH,ZAF,Export,0.0000945,0,0.0000945,0,0
DJI,IND,Export,0.0000946,0,0.0000946,0,0
WLF,FRA,Import,0.0000975,0.0000079,0.0000896,0,0
MNG,JPN,Export,0.0001008,0.0001004,0.0000004,0,0
SWZ,DZA,Import,0.0001028,0,0.0001028,0,0
LAO,SGP,Import,0.0001074,0,0.0001074,0,0
MNP,MYS,Import,0.0001094,0,0.0001094,0,0
COK,SGP,Import,0.0001112,0,0.0001112,0,0
PRK,IND,Import,0.0001129,0,0.0001129,0,0
ERI,MYS,Import,0.0001158,0,0.0001158,0,0
MSR,FRA,Import,0.0001218,0,0.0001218,0,0
VCT,LCA,Export,0.0001244,0,0.0001244,0,0
WSM,UZB,Import,0.0001296,0,0.0001296,0,0
FSM,JPN,Import,0.0001358,0,0.0001358,0,0
ATA,DNK,Import,0.000138,0,0.000138,0,0
IOT,PAK,Export,0.0001419,0,0.0001419,0,0
TUV,FJI,Export,0.0001419,0,0.0001419,0,0
MSR,ARE,Import,0.0001423,0,0.0001423,0,0
UMI,GUY,Export,0.0001466,0,0.0001466,0,0
DMA,LCA,Import,0.0001477,0,0.0001477,0,0
CYM,CAN,Import,0.000149,0,0.000149,0,0
SYR,KWT,Export,0.0001542,0.0001542,0,0,0
NFK,AUS,Import,0.0001547,0,0.0001547,0,0
SPM,FRA,Import,0.0001581,0,0.0001581,0,0
DMA,CAN,Import,0.00016,0.00016,0,0,0
DJI,SVK,Export,0.000162,0.000162,0,0,0
TLS,JPN,Import,0.0001622,0,0.0001622,0,0
FRO,ISL,Export,0.0001641,0,0.0001641,0,0
HND,PAN,Export,0.0001823,0,0.0001823,0,0
TON,FJI,Export,0.0001998,0,0.0001998,0,0
AFG,ARE,Export,0.000201,0,0.000201,0,0
STP,NGA,Import,0.0002072,0,0.0002072,0,0
ATF,EST,Import,0.000215,0.000215,0,0,0
AND,SRB,Export,0.0002168,0,0.0002168,0,0
GMB,CZE,Export,0.0002242,0,0.0002242,0,0
AND,BDI,Export,0.0002365,0,0.0002365,0,0
STP,CMR,Import,0.0002396,0,0.0002396,0,0
ERI,YEM,Import,0.0002397,0,0.0002397,0,0
NCL,WLF,Export,0.0002409,0,0.0002377,0.0000032,0
WLF,NCL,Import,0.0002409,0,0.0002377,0.0000032,0
BGD,NER,Export,0.0002412,0,0.0002412,0,0
GRD,DEU,Import,0.0002529,0.0001513,0.0001016,0,0
UGA,MAC,Export,0.0002535,0,0.0002535,0,0
PLW,AUS,Import,0.0002553,0,0.0002553,0,0
UGA,ZAF,Export,0.0002656,0,0.0002656,0,0
TLS,PRT,Import,0.000275,0,0.000275,0,0
STP,ITA,Import,0.0002758,0,0.0002758,0,0
KGZ,RUS,Export,0.00028,0.00028,0,0,0
WLF,FJI,Export,0.0002838,0,0.0002838,0,0
ETH,CZE,Export,0.0002846,0,0.0002846,0,0
NPL,JPN,Export,0.000288,0,0.000288,0,0
