index,Country,Cases,Cases_2020,Cases_2021,Cases_2022,Cases_week,Deaths,Deaths_2020,Deaths_2021,Deaths_2022,Deaths_week,Fully_vaccinated,Vaccinated_booster
31,Bulgaria,1286584.0,202266.0,544842,539476.0,28.1419,38027.0,7576.0,23379,7072.0,0.6320,30.58,11.33
32,Burkina Faso,21631.0,6707.0,10925,3999.0,0.0000,387.0,85.0,233,69.0,0.0000,11.72,0.0
33,Burundi,50778.0,818.0,26548,23412.0,0.7204,38.0,2.0,36,0.0,0.0000,0.2,0.0
34,Cambodia,138063.0,378.0,120115,17570.0,0.2981,3056.0,0.0,3012,44.0,0.0000,86.99,61.66
35,Cameroon,123993.0,26277.0,83090,14626.0,0.0000,1965.0,448.0,1403,114.0,0.0000,4.65,0.24
36,Canada,4428546.0,587429.0,1612615,2228502.0,33.1897,47862.0,15762.0,14615,17485.0,0.6464,82.39,75.16
37,Cape Verde,62969.0,11840.0,29892,21237.0,40.2203,412.0,113.0,239,60.0,0.4817,52.05,0.13
38,Cayman Islands,31194.0,338.0,8480,22376.0,0.0000,36.0,2.0,9,25.0,0.0000,88.03,35.02
39,Central African Republic,15311.0,4963.0,7200,3148.0,0.5633,113.0,63.0,38,12.0,0.0000,29.72,3.84
40,Chad,7641.0,2113.0,3590,1938.0,0.0323,194.0,104.0,77,13.0,0.0000,20.44,0.0
41,Chile,4909878.0,608973.0,1197521,3103384.0,237.7827,62377.0,16608.0,22507,23262.0,1.3846,90.25,139.64
42,China,1485399.0,87071.0,15243,1383085.0,19.3707,5232.0,4634.0,2,596.0,0.0003,89.27,56.89
43,Colombia,6312657.0,1642775.0,3514665,1155217.0,0.0000,141881.0,43213.0,86729,11939.0,0.0000,70.95,27.73
44,Comoros,8941.0,823.0,5692,2426.0,0.0000,161.0,10.0,147,4.0,0.0000,47.45,0.0
45,Congo,25375.0,7107.0,12982,5286.0,0.0000,386.0,108.0,259,19.0,0.0000,10.96,0.0
