Country,Time,Time_unit,Deaths_old,Deaths_2020,Deaths_2021,Deaths_2022
Belarus,11,month,9536.6,15565,,
Belarus,12,month,10165.8,17531,,
Belgium,1,week,2390.4,2234,2466,2366
Belgium,2,week,2431.6,2388,2396,2220
Belgium,3,week,2422.8,2314,2437,2369
Belgium,4,week,2422.4,2204,2430,2531
Belgium,5,week,2510,2356,2275,2639
Belgium,6,week,2488.4,2169,2224,2553
Belgium,7,week,2523.6,2307,2316,2451
Belgium,8,week,2487.8,2301,2137,2299
Belgium,9,week,2544.8,2249,2015,2170
Belgium,10,week,2452.8,2212,2155,2420
Belgium,11,week,2344.6,2234,2101,2391
Belgium,12,week,2322.2,2554,2115,2400
Belgium,13,week,2226.8,3198,2217,2508
Belgium,14,week,2119.6,4021,2205,2545
Belgium,15,week,2095.2,4292,2165,2439
Belgium,16,week,2051.4,3703,2211,2340
Belgium,17,week,2032.2,3039,2201,2206
Belgium,18,week,2012.2,2429,2251,2248
Belgium,19,week,2030.2,2390,2076,2057
Belgium,20,week,1981.2,2042,2027,2094
Belgium,21,week,1970.2,2082,1995,1917
Belgium,22,week,1931.4,1983,1992,2044
Belgium,23,week,1878,1799,1878,1933
Belgium,24,week,1860.6,1899,1964,2110
Belgium,25,week,1922.6,1822,1780,2023
Belgium,26,week,1897,1968,1928,1956
Belgium,27,week,2023.2,1768,1829,2033
Belgium,28,week,1861.8,1682,1906,2055
Belgium,29,week,1904.8,1859,1999,2148
Belgium,30,week,1995.8,1810,1890,2020
Belgium,31,week,1885.4,1947,1877,2060
Belgium,32,week,1875.4,2046,1890,2150
Belgium,33,week,1855.2,2882,1840,2103
Belgium,34,week,1901.8,2215,1861,2071
Belgium,35,week,1908,1879,1954,1985
Belgium,36,week,1848,1891,2012,2004
Belgium,37,week,1864.4,1825,1895,1901
Belgium,38,week,1882.8,2004,1885,2041
Belgium,39,week,1907.6,1916,1939,2090
Belgium,40,week,1969,1920,2054,2219
Belgium,41,week,2020,2060,2221,2219
Belgium,42,week,2005,2157,2335,2198
Belgium,43,week,1991.8,2629,2327,2170
Belgium,44,week,1983.4,3282,2276,2002
