Context,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12
55,Keneb,Minala,Apt,Kamist,Coltaine,Mallick,Korbolo,,,,,
55,Minala,Apt,Kamist,Coltaine,Mallick,Korbolo,,,,,,
55,Apt,Kamist,Coltaine,Mallick,Korbolo,,,,,,,
55,Kamist,Coltaine,Mallick,Korbolo,,,,,,,,
55,Coltaine,Mallick,Korbolo,,,,,,,,,
55,Mallick,Korbolo,,,,,,,,,,
56,Kulp,Heboric,Baudin,Felisin,Gesler,Truth,Stormy,,,,,
56,Heboric,Baudin,Felisin,Gesler,Truth,Stormy,,,,,,
56,Baudin,Felisin,Gesler,Truth,Stormy,,,,,,,
56,Felisin,Gesler,Truth,Stormy,,,,,,,,
56,Gesler,Truth,Stormy,,,,,,,,,
56,Truth,Stormy,,,,,,,,,,
57,Duiker,Coltaine,Lull,Sormo,Kamist,,,,,,,
57,Coltaine,Lull,Sormo,Kamist,,,,,,,,
57,Lull,Sormo,Kamist,,,,,,,,,
57,Sormo,Kamist,,,,,,,,,,
58,Coltaine,Duiker,List,Kamist,Semk,,,,,,,
58,Duiker,List,Kamist,Semk,,,,,,,,
58,List,Kamist,Semk,,,,,,,,,
58,Kamist,Semk,,,,,,,,,,
59,Semk,Sormo,Coltaine,Duiker,Nil,Nether,,,,,,
59,Sormo,Coltaine,Duiker,Nil,Nether,,,,,,,
59,Coltaine,Duiker,Nil,Nether,,,,,,,,
59,Duiker,Nil,Nether,,,,,,,,,
59,Nil,Nether,,,,,,,,,,
60,Kulp,Heboric,Baudin,Felisin,Gesler,Stormy,Truth,Olar,,,,
60,Heboric,Baudin,Felisin,Gesler,Stormy,Truth,Olar,,,,,
60,Baudin,Felisin,Gesler,Stormy,Truth,Olar,,,,,,
60,Felisin,Gesler,Stormy,Truth,Olar,,,,,,,
60,Gesler,Stormy,Truth,Olar,,,,,,,,
60,Stormy,Truth,Olar,,,,,,,,,
60,Truth,Olar,,,,,,,,,,
61,Kulp,Heboric,Baudin,Felisin,Gesler,Stormy,Truth,Olar,,,,
61,Heboric,Baudin,Felisin,Gesler,Stormy,Truth,Olar,,,,,
61,Baudin,Felisin,Gesler,Stormy,Truth,Olar,,,,,,
61,Felisin,Gesler,Stormy,Truth,Olar,,,,,,,
61,Gesler,Stormy,Truth,Olar,,,,,,,,
61,Stormy,Truth,Olar,,,,,,,,,
61,Truth,Olar,,,,,,,,,,
62,Kulp,Felisin,Heboric,Baudin,Tavore,,,,,,,
62,Worldbuilding,Laseen,Cotillion,,,,,,,,,
62,Felisin,Heboric,Baudin,Tavore,,,,,,,,
62,Heboric,Baudin,Tavore,,,,,,,,,
62,Baudin,Tavore,,,,,,,,,,
63,Iskaral,Shaik,Icarium,Mappo,Fiddler,Apsalar,Crokus,,,,,
63,Shaik,Icarium,Mappo,Fiddler,Apsalar,Crokus,,,,,,
63,Icarium,Mappo,Fiddler,Apsalar,Crokus,,,,,,,
63,Mappo,Fiddler,Apsalar,Crokus,,,,,,,,
63,Fiddler,Apsalar,Crokus,,,,,,,,,
63,Apsalar,Crokus,,,,,,,,,,
64,Fiddler,Mappo,Icarium,,,,,,,,,
64,Mappo,Icarium,,,,,,,,,,
65,Icarium,Mappo,Rellock,Iskaral,Apsalar,Shaik,Fiddler,Crokus,,,,
65,Mappo,Rellock,Iskaral,Apsalar,Shaik,Fiddler,Crokus,,,,,
65,Rellock,Iskaral,Apsalar,Shaik,Fiddler,Crokus,,,,,,
65,Iskaral,Apsalar,Shaik,Fiddler,Crokus,,,,,,,
65,Apsalar,Shaik,Fiddler,Crokus,,,,,,,,
65,Shaik,Fiddler,Crokus,,,,,,,,,
65,Fiddler,Crokus,,,,,,,,,,
66,Fiddler,Iskaral,Quick,,,,,,,,,
66,Iskaral,Quick,,,,,,,,,,
67,Mappo,,,,,,,,,,,
68,Icarium,Mappo,,,,,,,,,,
69,Iskaral,,,,,,,,,,,
70,Crokus,Apsalar,,,,,,,,,,
71,Kalam,Keneb,Minala,Korbolo,Quick,Lostara,Pearl,,,,,
71,Keneb,Minala,Korbolo,Quick,Lostara,Pearl,,,,,,
71,Minala,Korbolo,Quick,Lostara,Pearl,,,,,,,
71,Korbolo,Quick,Lostara,Pearl,,,,,,,,
71,Quick,Lostara,Pearl,,,,,,,,,
71,Lostara,Pearl,,,,,,,,,,
72,Apt,Shadowthrone,Lostara,Pearl,Kalam,Korbolo,,,,,,
72,Kalam,Shadowthrone,Lostara,Pearl,Korbolo,,,,,,,
72,Lostara,Pearl,,,,,,,,,,
73,Duiker,Shadowthrone,,,,,,,,,,
74,Coltaine,Tithansi,Duiker,Semk,,,,,,,,
