Id,Context
36,"Writing developed independently at least in two places: Sumeria and mesoamerica, and at maximum, two more, Egypt and China. All other attempts at writing were influenced by those either more directly (copying words, letters) or less directly (copying concepts, ideas). All the older languages were logograms (one shape for one word), and although the Egyptians developed something like an alphabet linking each sounds with a letter, they didn't widely use it. It was the semites who initially created an alphabet based writing language with the Greeks first adding vowels to it."
37,"While all ancient writing languages were developed around bureaucratic use cases, with few leading up to propaganda and myth, like the Egyptians, the first preserved instances of Greek (after abandoning the Mynicean and Minoan languages and becoming illiterate for a while) and Roman languages were jokes and poetry written on objects like wine cups."
38,"Certain areas never developed writing, including one of the largest empires of its time, the Incas, the Hawaiian and Tonga proto empires, subequatorial and West Africa (prior to the arrival of Islam), and the largest North American societies. Considering that writing almost everywhere got somewhat copied rather than reinvented the main reason writing didn't appear in all these places was primarily their isolation. "
39,"Counter to popular belief that inventions came out of necessity, much more often inventions came out of curious inventors who liked tinkering, who invented something without having a clear purpose for it, only finding a use for their invention later. Such inventions include the airplane, the automobile, internal combustion engines, light bulbs, phonographs, and transistors. The second key insight from inventions in modern times is that the heroic inventor story of someone inventing something out of thin air due to pure genius is a myth. Instead, inventions build on top of previous inventions and insights slowly improving stuff that usually are very impractical in their initial stages. This is crucial because it means inventions are seriously dependent on the availability of other inventions."
40,"Societies are some times not very receptive to certain technologies due to social reasons. For instance Britain adopted electric light very late, and we are still using the ineffective qwerty keyboard. Japan dominated the electric transistor market after the patent was sold to them from the US, because the US was invested in the older vacuum tube models at the time and didn’t want to produce competing products. "
41,"As many as 14 reasons have been provided by historians trying to understand why technology developed unevenly across humanity, from life expectancy, to economical reasons like availability of local cheap labor, patent laws, available training, investment returns, and strong individualism. Others are ideological, like risk taking, the scientific outlook, tolerance to many views, and religion. And lastly others are circumstantial like war, strong centralised governments, climate, environmental resources. All these are useful when studying specific cases but not that much in broader studies. In practice, some cultures or tribes (like different tribes of aboriginal Americans or new Guineans) will be more receptive of technological innovation and the same culture might be more receptive in different times (like innovative Islam during the dark ages and non innovative Islam now). So for very broad studies we can expect technological reception to cover the whole spectrum in each continent and to be fairly random."
42,"The spread of a new idea or technology happens in one of two ways for critical innovations. When such an innovation is perceived by the neighbors, it is either adopted by them, or the neighbor who had adopted it displaces the ones who haven't. Complicated pieces of technology often are only invented once and then they are spread, because reinventing them usually takes too much time. Such examples are pulleys, rotary locks, windmills, porcelain and the alphabet. So in order to receive such technologies a society needs to be reasonably reachable. As a result, well connected regions, with established trade routes benefited much more from cultural diffusion. Again, Eurasia with the early food production in Eastern and Western Asia and with strong trade routes benefited unevenly."
43,"Technology bears more technology in an accelerating feedback loop. Iron metallurgy was possible only after centuries of using maleable metals like copper and gold, after using furnaces for pottery, and spending some time on experimenting with copper alloy mixes (bronze) that need lower temperatures to work than iron. Similarly, Gutenberg's printing machine benefited from developments in metallurgy, paper making, inks and so on. In contrast, consider that the wheel was invented in mesoamerica in 3000bc but was never used for transportation due to the lack of animals to use for the task. Apparently the llamas of nearby Andes and the wheel of mesoamerica never met."
44,"To better understand the impact of population size of a society to its various functions and its ability to produce guns germs and steel, we are going to separate societies in 4 groups based on their population."
45,"The first population based group is bands which consist of groups of a few tens of people, typically nomadic hunter-gatherers. Basically extended families or a couple of extended families, who are typically egalitarian. This is pretty much how humanity started, and how our primate relatives tend to organise themselves. There are still such societies living in remote sites in New Guinea and Amazonia. Information, decisions and land are communal in such societies."
46,"The second societal group, tribes, number in the hundreds and are typically settled in one or several close-nit villages, although occasionally they also move seasonally. There are more than one kin involved but they are still all somehow related together either via family or marriage and they all know each other. They are still fairly egalitarian, with information and decision making shared, but land typically belongs to one kin(clan) not all. Due to their size and static nature tribes typically develop around food production practices."
47,"The third societal group, chiefdoms, number from thousands to tens of thousands of people. With such populations there are bureaucrats and specialist craftsmen, and the specialisation of labor allows for the use of slaves. There is a clear and permanent leader, the chief, who retains the right for decision making, for holding certain information and the privilege of violence as these groups of more strangers grow larger. Chiefs stand out from their clothing and statue being generally recognisable dead or alive, and their status is hereditary so societies have classes. The chiefs receive tributes from their subjects some of which they may redistribute - the percentage of what they keep typically making them good or bad leaders.  As cleptocrats, chiefs have 4 ways to maintain power 1) keep the public happy by redistributing most of their tribute, 2) by maintaining order and preventing violence, 3) by taking away everyone's weapons (much harder in older societies), or 4) by religion with the chief being a god or at least a chosen one. Chiefdoms are also the first tier where we see public function buildings like temples."
48,"In the fourth societal group, states, specialisation of labor is even greater (hence also a greater opportunity for slavery), bureaucracy runs much deeper in multiple levels, there is typically a firm written law and law enforcement, and the leaders/kings enjoy even more privileges concerning decision making and information holding. The king is sometimes deemed divine, but in some states like many modern ones, the chief position, as well as many of the beaurocrats, is not hereditary. Many states also have official religions that apart from justifying the chief, provide some unity to the populace and a reason to literary die outside of themselves. The last one giving a great edge on war."
49,"With the exception of the Incas, as societies reached the level of States they also developed writing and a literate elite."
50,"Increasing population seems to be the driving force behind developing more complex centralised governments as we saw in the progression from bands to states. This complexity arises to deal with 4 principal problems: 1) conflict resolution, 2) decision making 3) redistributive economy (redistribute some goods from people who have many, to people who have a deficit), and 4) population density. These are the reasons why larger societies cannot organise themselves like bands do."
51,"The amalgamation of simpler societies (let's say chiefdoms) into more complex ones (States) is driven either by conquest, or by the threat of war/conquest (for example, the Cherokee Indians coming together to face the whites). But amalgation is much more intense with larger societies because defeated people are useful either as slaves or for paying tribute, functions that are not very useful to bands. Defeated bands are useless to other bands, so defeated ones tend to simply move a bit further away from the winners."
53,"In New Guinea, due to its particular climate, topography, and plants, the highland region developed food production the most, along with some coastal areas, and resulted in increased populations in these areas along with the complexities that accompany it like arts, crafts and so on. Societies typically reached the tribe level there, whereas lowland New Guineans remained hunter-gathers organised in bands. The few high altitude valleys and the inability of New Guineans to push food production on lower altitudes, resulted in an altitude confinement of food production (on either direction). This, combined with their low protein diet meant New Guinea never managed to reach a population of over 1 million and as a result never reached chiefdoms, and the complex centralised governments and technology correlated with them. Their isolation made it even harder as they didn't have many neighbors to import technological improvements from, although they did receive chickens, pottery, and probably pigs and dogs via Indonesia."
54,"Even thought Australia was occupied almost 40000 years ago, possibly earlier than Western Europe, with evidently superior maritime technology initially, why was it still in the stone age when Europeans arrived? Australia is the driest continent with the most infertile ground, and the most inconsistently changing climate. All that combined with the lack of local plants and animals suitable for domestication meant food production was never developed so it isn't a surprise populations always remained low and as a result technology never kicked off. Being severely isolated only made things worse. Australians had some chances to import technologies from their neighbours, like bow and arrow, pottery, and pigs, from the Indonesians who also had metal tools and clothes. But contacts were limited, usually with representatives with little technology themselves (Hunter gatheres from new Guinea, traders from Indonesia) who came in contact with small bands and little effect to the overall Australian population. In fact, the only significant import of Australia since the original settlement of the continent 40000 years ago is the dog, almost certainly from Indonesia, around 1500bc. "
