State,Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
Maryland,PFIaffectNeigh,5.38,5.15,5.16,4.85,4.13,4.8,4.31,4.18,4.17,5,4.16,4.86
Washington,PFIaffectNeigh,4.78,4.46,5.13,5.18,4.15,4.88,3.98,4.37,3.86,4.75,3.95,5
Indiana,PFIaffectNeigh,5.11,5.5,5.46,5.2,4.33,5.08,4.25,4.4,4.67,5.25,4.22,5.19
Ohio,PFIaffectNeigh,5.17,5.42,5.16,5.17,4.3,5.16,4.2,4.36,4.25,5.28,4.32,5.59
Michigan,PFIaffectNeigh,5.29,5.33,5.53,5.22,4.44,5.47,4.3,4.31,4.46,5.65,4.52,5.52
Hawaii,PFIaffectNeigh,5.3,4.94,5.25,4.94,4.06,5.45,4.31,4.7,4.25,4.67,4.58,6.5
North Carolina,PFIaffectNeigh,4.62,5.23,4.74,4.8,4.17,5,4.04,3.88,4.06,4.32,4.12,4.84
Oregon,PFIaffectNeigh,4.73,4.5,4.5,4.58,4.3,4.9,4.06,4.08,4.36,4.75,4.16,5.08
New Mexico,PFIaffectNeigh,5.56,5.75,4.58,4.17,3.83,5,4.67,4.42,3.38,4.5,4.38,4.75
Florida,PFIaffectNeigh,4.87,5.08,4.92,5.18,4.18,5.09,4.17,4.1,4.16,4.9,4.09,5
Illinois,PFIaffectNeigh,4.93,4.99,4.98,4.94,4.18,5.31,4,3.94,4.18,5.16,4.2,5.21
Arizona,PFIaffectNeigh,5.33,5.33,5.13,5.3,4.39,5.32,4.29,4.09,4.38,5.52,4.03,5.4
Colorado,PFIaffectNeigh,5.83,5.98,5.5,5.61,4.68,5.9,4.88,4.46,4.88,5.97,4.35,6
Oklahoma,PFIaffectNeigh,4.63,4.75,4.36,4.28,4.09,4.05,4.29,4.04,3.79,4.15,3.82,4.17
Missouri,PFIaffectNeigh,4.71,4.93,4.86,4.68,4.25,5.17,3.88,3.96,4.13,5.63,4.36,5.35
Arkansas,PFIaffectNeigh,5,4.75,5,5.4,3.83,6,3.94,4.25,4.69,5.5,4.75,5.83
Idaho,PFIaffectNeigh,5.42,5,5.88,5.33,4.42,5.5,4.58,4.17,4.25,5.5,4.42,6
