measure,location,sex,cause,rei,val
DALYs (Disability-Adjusted Life Years),Global,Male,Chronic respiratory diseases,Tobacco,25496903.51
DALYs (Disability-Adjusted Life Years),Global,Both,Cardiovascular diseases,Impaired kidney function,25337491.73
DALYs (Disability-Adjusted Life Years),South Asia,Male,Cardiovascular diseases,High systolic blood pressure,25140179.74
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Enteric infections,"Unsafe water, sanitation, and handwashing",24882749.07
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Cardiovascular diseases,High LDL cholesterol,24872805.64
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Cardiovascular diseases,Air pollution,24196843.97
DALYs (Disability-Adjusted Life Years),World Bank High Income,Both,Cardiovascular diseases,Dietary risks,24042618.67
DALYs (Disability-Adjusted Life Years),Global,Male,Enteric infections,Child and maternal malnutrition,23994111.01
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Enteric infections,"Unsafe water, sanitation, and handwashing",23745989.14
DALYs (Disability-Adjusted Life Years),South Asia,Both,Cardiovascular diseases,High LDL cholesterol,23315357.6
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Cancer,Tobacco,23252442
DALYs (Disability-Adjusted Life Years),East Asia,Both,Cardiovascular diseases,Tobacco,23092412.16
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Cardiovascular diseases,Tobacco,23077984.55
DALYs (Disability-Adjusted Life Years),Global,Male,Respiratory infections and tuberculosis,Air pollution,23029553.2
DALYs (Disability-Adjusted Life Years),East Asia,Female,Cardiovascular diseases,Dietary risks,22592669.43
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Cardiovascular diseases,High fasting plasma glucose,22504185.06
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Cardiovascular diseases,High LDL cholesterol,22185643.48
DALYs (Disability-Adjusted Life Years),Global,Male,Nutritional deficiencies,Child and maternal malnutrition,22158765.53
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Both,Enteric infections,"Unsafe water, sanitation, and handwashing",22095575.51
DALYs (Disability-Adjusted Life Years),Global,Female,Respiratory infections and tuberculosis,Air pollution,21382502.97
DALYs (Disability-Adjusted Life Years),South Asia,Both,Nutritional deficiencies,Child and maternal malnutrition,21130881.21
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Male,Neonatal disorders,Child and maternal malnutrition,21042969.85
DALYs (Disability-Adjusted Life Years),Global,Both,Cardiovascular diseases,Low physical activity,20882430.38
DALYs (Disability-Adjusted Life Years),Global,Both,Cardiovascular diseases,Alcohol use,20845370.23
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Nutritional deficiencies,Child and maternal malnutrition,20828180.65
DALYs (Disability-Adjusted Life Years),Global,Male,HIV/AIDS,Unsafe sex,20802425.11
DALYs (Disability-Adjusted Life Years),Global,Female,Diabetes and kidney diseases,High body-mass index,20793115.51
DALYs (Disability-Adjusted Life Years),Global,Both,Cardiovascular diseases,Other environmental risks,20578958.32
DALYs (Disability-Adjusted Life Years),Global,Male,Cardiovascular diseases,Alcohol use,20566701.75
DALYs (Disability-Adjusted Life Years),East Asia,Female,Cardiovascular diseases,High systolic blood pressure,20522890.68
DALYs (Disability-Adjusted Life Years),Global,Female,Enteric infections,Child and maternal malnutrition,20339037.24
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Respiratory infections and tuberculosis,Child and maternal malnutrition,20279750.21
DALYs (Disability-Adjusted Life Years),Global,Both,Cancer,Dietary risks,20178521.71
DALYs (Disability-Adjusted Life Years),East Asia,Both,Cancer,Tobacco,19825742.93
DALYs (Disability-Adjusted Life Years),Global,Male,Diabetes and kidney diseases,High body-mass index,19810443.92
DALYs (Disability-Adjusted Life Years),South Asia,Both,Respiratory infections and tuberculosis,Child and maternal malnutrition,19748952.56
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Both,Neonatal disorders,Child and maternal malnutrition,19710608.69
DALYs (Disability-Adjusted Life Years),Global,Female,HIV/AIDS,Unsafe sex,19683767.46
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Both,Enteric infections,"Unsafe water, sanitation, and handwashing",19640220.79
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Cardiovascular diseases,High body-mass index,19526439.45
DALYs (Disability-Adjusted Life Years),South Asia,Both,Diabetes and kidney diseases,High fasting plasma glucose,19461487.6
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Respiratory infections and tuberculosis,Child and maternal malnutrition,19425148.67
DALYs (Disability-Adjusted Life Years),Southeast Asia,Both,Cardiovascular diseases,High systolic blood pressure,19420459.87
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Diabetes and kidney diseases,High fasting plasma glucose,19160908.91
DALYs (Disability-Adjusted Life Years),South Asia,Female,Cardiovascular diseases,Dietary risks,19084917.67
DALYs (Disability-Adjusted Life Years),Global,Both,Respiratory infections and tuberculosis,Tobacco,19084628.41
DALYs (Disability-Adjusted Life Years),East Asia,Both,Cardiovascular diseases,High LDL cholesterol,19080257.04
DALYs (Disability-Adjusted Life Years),East Asia,Male,Cardiovascular diseases,Tobacco,19046029.07
DALYs (Disability-Adjusted Life Years),Global,Female,Cardiovascular diseases,Air pollution,18947525.53
DALYs (Disability-Adjusted Life Years),Global,Male,Diabetes and kidney diseases,Impaired kidney function,18868102.15
DALYs (Disability-Adjusted Life Years),Southeast Asia,Both,Cardiovascular diseases,Dietary risks,18678031.38
DALYs (Disability-Adjusted Life Years),South Asia,Female,Cardiovascular diseases,High systolic blood pressure,18658676.57
DALYs (Disability-Adjusted Life Years),Global,Male,Substance use disorders,Drug use,18596068.79
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Both,Respiratory infections and tuberculosis,Child and maternal malnutrition,18410794.75
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Diabetes and kidney diseases,High fasting plasma glucose,18296411.18
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Cardiovascular diseases,High fasting plasma glucose,17969134.37
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,HIV/AIDS,Unsafe sex,17812655.04
DALYs (Disability-Adjusted Life Years),East Asia,Male,Cancer,Tobacco,17780424.07
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Both,Respiratory infections and tuberculosis,Child and maternal malnutrition,17608578.15
DALYs (Disability-Adjusted Life Years),Global,Both,Diabetes and kidney diseases,High systolic blood pressure,17480366.86
DALYs (Disability-Adjusted Life Years),Global,Both,Substance use disorders,Alcohol use,17462887.55
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Cardiovascular diseases,Air pollution,17436127.21
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Neonatal disorders,Child and maternal malnutrition,17428628.68
DALYs (Disability-Adjusted Life Years),Global,Female,Diabetes and kidney diseases,Impaired kidney function,16946628.48
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Male,Neonatal disorders,Child and maternal malnutrition,16880175.92
DALYs (Disability-Adjusted Life Years),Global,Both,Cancer,Alcohol use,16609709.82
DALYs (Disability-Adjusted Life Years),Eastern Europe,Both,Cardiovascular diseases,High systolic blood pressure,16593324.65
DALYs (Disability-Adjusted Life Years),East Asia,Both,Cardiovascular diseases,High body-mass index,16564144.32
DALYs (Disability-Adjusted Life Years),Global,Female,Cardiovascular diseases,Tobacco,16511690.92
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Cardiovascular diseases,High body-mass index,16283322.71
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Diabetes and kidney diseases,Impaired kidney function,16141447.57
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Diabetes and kidney diseases,High body-mass index,15988672.79
DALYs (Disability-Adjusted Life Years),Global,Both,Musculoskeletal disorders,Occupational risks,15938148.64
DALYs (Disability-Adjusted Life Years),Global,Male,Chronic respiratory diseases,Air pollution,15925596.46
DALYs (Disability-Adjusted Life Years),Eastern Europe,Both,Cardiovascular diseases,Dietary risks,15813866.15
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Cardiovascular diseases,High LDL cholesterol,15804196.06
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Both,Enteric infections,Child and maternal malnutrition,15738771.71
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Chronic respiratory diseases,Air pollution,15605004.81
DALYs (Disability-Adjusted Life Years),South Asia,Both,Cardiovascular diseases,Air pollution,15569977.33
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Diabetes and kidney diseases,High fasting plasma glucose,15549306.55
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Both,Enteric infections,Child and maternal malnutrition,15531879.84
DALYs (Disability-Adjusted Life Years),World Bank High Income,Both,Diabetes and kidney diseases,High fasting plasma glucose,15306833.25
DALYs (Disability-Adjusted Life Years),South Asia,Female,Enteric infections,"Unsafe water, sanitation, and handwashing",15293125.07
DALYs (Disability-Adjusted Life Years),Global,Both,Diabetes and kidney diseases,Air pollution,15233041
DALYs (Disability-Adjusted Life Years),World Bank High Income,Both,Cancer,Tobacco,15221654.94
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Female,Neonatal disorders,Child and maternal malnutrition,15116256.17
DALYs (Disability-Adjusted Life Years),World Bank High Income,Male,Cardiovascular diseases,High systolic blood pressure,14960204.32
DALYs (Disability-Adjusted Life Years),Global,Both,Respiratory infections and tuberculosis,Alcohol use,14897266.73
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Female,Cardiovascular diseases,High body-mass index,14893706.48
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,Cardiovascular diseases,High systolic blood pressure,14766824.01
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Female,Cardiovascular diseases,High LDL cholesterol,14729905.69
DALYs (Disability-Adjusted Life Years),World Bank High Income,Male,Cardiovascular diseases,Dietary risks,14710905.56
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Cardiovascular diseases,Air pollution,14666365.74
DALYs (Disability-Adjusted Life Years),Global,Male,Diabetes and kidney diseases,Dietary risks,14617989.04
DALYs (Disability-Adjusted Life Years),South Asia,Both,Cardiovascular diseases,Tobacco,14573254.89
DALYs (Disability-Adjusted Life Years),South Asia,Male,Cardiovascular diseases,High LDL cholesterol,14457405.32
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Diabetes and kidney diseases,High body-mass index,14444850.86
DALYs (Disability-Adjusted Life Years),South Asia,Both,Respiratory infections and tuberculosis,Air pollution,14416183.95
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,Cardiovascular diseases,Dietary risks,14411157.64
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Female,Diabetes and kidney diseases,High fasting plasma glucose,14407186.78
DALYs (Disability-Adjusted Life Years),South Asia,Both,Cardiovascular diseases,High fasting plasma glucose,14363454.54
DALYs (Disability-Adjusted Life Years),South Asia,Both,Cardiovascular diseases,High body-mass index,14319750.97
DALYs (Disability-Adjusted Life Years),Global,Both,Chronic respiratory diseases,Occupational risks,14301449.91
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Enteric infections,Child and maternal malnutrition,14100627.06
DALYs (Disability-Adjusted Life Years),Global,Female,Chronic respiratory diseases,Air pollution,14089783.1
DALYs (Disability-Adjusted Life Years),Global,Male,Respiratory infections and tuberculosis,Tobacco,13946583.3
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Chronic respiratory diseases,Tobacco,13905648.44
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Cardiovascular diseases,High body-mass index,13890473.85
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Chronic respiratory diseases,Tobacco,13825325.31
DALYs (Disability-Adjusted Life Years),South Asia,Female,Nutritional deficiencies,Child and maternal malnutrition,13803682.23
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Respiratory infections and tuberculosis,Air pollution,13715976.84
DALYs (Disability-Adjusted Life Years),Global,Male,Cardiovascular diseases,Other environmental risks,13606066.43
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Both,Nutritional deficiencies,Child and maternal malnutrition,13583365.33
DALYs (Disability-Adjusted Life Years),East Asia,Both,Diabetes and kidney diseases,High fasting plasma glucose,13557765.27
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Male,Nutritional deficiencies,Child and maternal malnutrition,13433237.75
DALYs (Disability-Adjusted Life Years),Global,Male,Cardiovascular diseases,Impaired kidney function,13429656.23
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Respiratory infections and tuberculosis,Air pollution,13400444.9
DALYs (Disability-Adjusted Life Years),Global,Male,Cancer,Dietary risks,13353429.49
DALYs (Disability-Adjusted Life Years),Global,Male,Substance use disorders,Alcohol use,13288670.88
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Both,Respiratory infections and tuberculosis,Air pollution,13267049.32
DALYs (Disability-Adjusted Life Years),World Bank High Income,Both,Cardiovascular diseases,High LDL cholesterol,13265111.02
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Enteric infections,Child and maternal malnutrition,13202138.59
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Cardiovascular diseases,High fasting plasma glucose,13099698.65
DALYs (Disability-Adjusted Life Years),Global,Male,Cancer,Alcohol use,13075243.2
DALYs (Disability-Adjusted Life Years),South Asia,Both,Chronic respiratory diseases,Air pollution,12979020.36
DALYs (Disability-Adjusted Life Years),Global,Male,Respiratory infections and tuberculosis,Alcohol use,12874132.11
DALYs (Disability-Adjusted Life Years),World Bank High Income,Both,Cardiovascular diseases,High body-mass index,12855307.81
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Cardiovascular diseases,Alcohol use,12740965.01
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Cardiovascular diseases,Alcohol use,12580160.37
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Male,Enteric infections,"Unsafe water, sanitation, and handwashing",12548020.16
DALYs (Disability-Adjusted Life Years),Global,Female,Diabetes and kidney diseases,Dietary risks,12508776.31
DALYs (Disability-Adjusted Life Years),Southeast Asia,Both,Diabetes and kidney diseases,High fasting plasma glucose,12324174.82
DALYs (Disability-Adjusted Life Years),South Asia,Male,Enteric infections,"Unsafe water, sanitation, and handwashing",12199372.93
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Both,Enteric infections,"Unsafe water, sanitation, and handwashing",12150929.78
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Female,Cardiovascular diseases,High fasting plasma glucose,12116035.47
