measure,location,sex,cause,rei,val
Deaths,South Asia,Both,Unintentional injuries,Occupational risks,31144.41819
DALYs (Disability-Adjusted Life Years),Oceania,Both,Chronic respiratory diseases,High body-mass index,31095.56406
DALYs (Disability-Adjusted Life Years),Eastern Europe,Female,Cancer,Air pollution,31071.88041
DALYs (Disability-Adjusted Life Years),Central Europe,Male,Cancer,Drug use,31062.46304
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Female,Diabetes and kidney diseases,Other environmental risks,31047.4991
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Male,Self-harm,Drug use,30995.69374
DALYs (Disability-Adjusted Life Years),Central Sub-Saharan Africa,Both,HIV/AIDS,Drug use,30982.99884
DALYs (Disability-Adjusted Life Years),Central Sub-Saharan Africa,Both,Unintentional injuries,Low bone mineral density,30926.26982
Deaths,High-income North America,Male,Cancer,Dietary risks,30926.2179
Deaths,South Asia,Both,Substance use disorders,Alcohol use,30920.9456
Deaths,Western Europe,Female,Cancer,High fasting plasma glucose,30910.37434
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Male,Sense organ diseases,Tobacco,30892.82715
Deaths,Central Asia,Both,Cardiovascular diseases,Impaired kidney function,30862.84048
Deaths,Andean Latin America,Both,Cardiovascular diseases,Dietary risks,30859.68702
DALYs (Disability-Adjusted Life Years),High-income North America,Male,Substance use disorders,Childhood maltreatment,30854.25395
Deaths,Global,Male,Chronic respiratory diseases,High body-mass index,30835.79879
Deaths,South Asia,Both,Digestive diseases,Drug use,30830.32186
Deaths,Central Europe,Female,Cardiovascular diseases,Impaired kidney function,30807.39974
DALYs (Disability-Adjusted Life Years),Southeast Asia,Female,Transport injuries,Alcohol use,30801.01972
DALYs (Disability-Adjusted Life Years),Australasia,Female,Cancer,Dietary risks,30781.48224
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Female,Sense organ diseases,High fasting plasma glucose,30750.12914
Deaths,Eastern Sub-Saharan Africa,Both,Cardiovascular diseases,Tobacco,30721.81107
Deaths,World Bank Upper Middle Income,Female,Digestive diseases,Alcohol use,30689.47402
Deaths,Southeast Asia,Male,Cancer,Dietary risks,30656.4932
Deaths,High-income North America,Both,Neurological disorders,High fasting plasma glucose,30652.97231
Deaths,World Bank Lower Middle Income,Female,Respiratory infections and tuberculosis,High fasting plasma glucose,30647.629
DALYs (Disability-Adjusted Life Years),South Asia,Female,Neurological disorders,Alcohol use,30627.94707
Deaths,Caribbean,Male,Cardiovascular diseases,High systolic blood pressure,30615.41381
DALYs (Disability-Adjusted Life Years),Western Europe,Female,Transport injuries,Occupational risks,30608.83354
DALYs (Disability-Adjusted Life Years),Southern Latin America,Both,Chronic respiratory diseases,High body-mass index,30606.6412
Deaths,South Asia,Male,Cancer,Air pollution,30583.25636
DALYs (Disability-Adjusted Life Years),Caribbean,Male,Respiratory infections and tuberculosis,Alcohol use,30544.92891
DALYs (Disability-Adjusted Life Years),Australasia,Male,Unintentional injuries,Occupational risks,30515.78217
DALYs (Disability-Adjusted Life Years),United Kingdom,Female,Unintentional injuries,Alcohol use,30511.58316
Deaths,East Asia,Female,Unintentional injuries,Low bone mineral density,30507.33102
Deaths,World Bank High Income,Female,Substance use disorders,Drug use,30503.518
DALYs (Disability-Adjusted Life Years),Australasia,Female,Diabetes and kidney diseases,Dietary risks,30478.44754
Deaths,Central Sub-Saharan Africa,Female,Neonatal disorders,Child and maternal malnutrition,30406.60969
Deaths,World Bank Low Income,Male,Cardiovascular diseases,Other environmental risks,30400.09862
Deaths,East Asia,Male,Respiratory infections and tuberculosis,Alcohol use,30377.30954
DALYs (Disability-Adjusted Life Years),World Bank High Income,Female,HIV/AIDS,Intimate partner violence,30372.30787
DALYs (Disability-Adjusted Life Years),World Bank High Income,Both,HIV/AIDS,Intimate partner violence,30372.30787
DALYs (Disability-Adjusted Life Years),Oceania,Male,HIV/AIDS,Unsafe sex,30327.60231
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Both,Neurological disorders,High body-mass index,30294.30923
Deaths,World Bank Lower Middle Income,Male,Cancer,High body-mass index,30279.82929
Deaths,World Bank Lower Middle Income,Both,Unintentional injuries,Alcohol use,30276.67288
DALYs (Disability-Adjusted Life Years),High-income North America,Both,Respiratory infections and tuberculosis,Child and maternal malnutrition,30273.23962
DALYs (Disability-Adjusted Life Years),Greece,Female,Chronic respiratory diseases,Tobacco,30258.70973
Deaths,Central Sub-Saharan Africa,Male,Cardiovascular diseases,Dietary risks,30247.15506
DALYs (Disability-Adjusted Life Years),Oceania,Female,Maternal disorders,Child and maternal malnutrition,30244.47278
DALYs (Disability-Adjusted Life Years),Oceania,Both,Maternal disorders,Child and maternal malnutrition,30244.47278
Deaths,North Africa and Middle East,Male,Diabetes and kidney diseases,High body-mass index,30238.05349
Deaths,High-income North America,Female,Diabetes and kidney diseases,High systolic blood pressure,30227.63392
DALYs (Disability-Adjusted Life Years),Eastern Europe,Male,Chronic respiratory diseases,High body-mass index,30222.85078
DALYs (Disability-Adjusted Life Years),High-income North America,Female,Enteric infections,"Unsafe water, sanitation, and handwashing",30212.40911
DALYs (Disability-Adjusted Life Years),High-income North America,Both,Musculoskeletal disorders,Impaired kidney function,30202.90547
DALYs (Disability-Adjusted Life Years),Caribbean,Both,Cancer,Air pollution,30173.75217
DALYs (Disability-Adjusted Life Years),Caribbean,Both,Sense organ diseases,Occupational risks,30172.20724
DALYs (Disability-Adjusted Life Years),Southeast Asia,Male,Unintentional injuries,Tobacco,30145.48348
Deaths,Andean Latin America,Both,Cardiovascular diseases,High systolic blood pressure,30131.4028
DALYs (Disability-Adjusted Life Years),Southeast Asia,Female,Neurological disorders,Alcohol use,30123.647
DALYs (Disability-Adjusted Life Years),Tropical Latin America,Male,Chronic respiratory diseases,High body-mass index,30112.95957
Deaths,East Asia,Female,Cancer,High fasting plasma glucose,30108.89869
DALYs (Disability-Adjusted Life Years),World Bank High Income,Female,Sense organ diseases,Tobacco,30098.23581
DALYs (Disability-Adjusted Life Years),Andean Latin America,Female,Substance use disorders,Alcohol use,30090.62971
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Both,Self-harm,Drug use,30047.74859
DALYs (Disability-Adjusted Life Years),Southern Sub-Saharan Africa,Male,Sense organ diseases,Occupational risks,30042.98259
DALYs (Disability-Adjusted Life Years),Central Sub-Saharan Africa,Both,Musculoskeletal disorders,High body-mass index,30024.71745
Deaths,Central Sub-Saharan Africa,Female,Cardiovascular diseases,Dietary risks,30021.36399
DALYs (Disability-Adjusted Life Years),Andean Latin America,Both,Neurological disorders,High body-mass index,30004.33302
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Female,Neurological disorders,High body-mass index,29988.07272
Deaths,Southern Latin America,Both,Cardiovascular diseases,High body-mass index,29980.85168
DALYs (Disability-Adjusted Life Years),United Kingdom,Both,Neurological disorders,Alcohol use,29944.11498
DALYs (Disability-Adjusted Life Years),Southeast Asia,Female,Diabetes and kidney diseases,Other environmental risks,29929.03358
Deaths,High-income North America,Male,Diabetes and kidney diseases,High systolic blood pressure,29921.54866
DALYs (Disability-Adjusted Life Years),Caribbean,Male,Digestive diseases,Drug use,29826.70017
DALYs (Disability-Adjusted Life Years),Greece,Both,Chronic respiratory diseases,Air pollution,29823.2592
Deaths,Eastern Sub-Saharan Africa,Female,Nutritional deficiencies,Child and maternal malnutrition,29790.7262
Deaths,Tropical Latin America,Both,Cardiovascular diseases,Low physical activity,29754.89545
DALYs (Disability-Adjusted Life Years),High-income North America,Female,Transport injuries,Occupational risks,29743.00788
DALYs (Disability-Adjusted Life Years),Australasia,Both,Cardiovascular diseases,Other environmental risks,29739.14271
DALYs (Disability-Adjusted Life Years),United Kingdom,Both,Transport injuries,Alcohol use,29688.94889
DALYs (Disability-Adjusted Life Years),East Asia,Female,Sense organ diseases,High body-mass index,29672.06172
DALYs (Disability-Adjusted Life Years),Southern Sub-Saharan Africa,Male,Other infectious diseases,Child and maternal malnutrition,29669.4778
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Male,Sexually transmitted infections excluding HIV,Unsafe sex,29667.19025
Deaths,High-income Asia Pacific,Both,Cardiovascular diseases,Impaired kidney function,29649.48026
DALYs (Disability-Adjusted Life Years),Central Latin America,Female,Transport injuries,Occupational risks,29646.57003
Deaths,World Bank Lower Middle Income,Female,Diabetes and kidney diseases,Tobacco,29599.75288
DALYs (Disability-Adjusted Life Years),Southern Latin America,Female,Enteric infections,"Unsafe water, sanitation, and handwashing",29565.48564
Deaths,Central Latin America,Male,Cardiovascular diseases,Tobacco,29561.07364
DALYs (Disability-Adjusted Life Years),Central Latin America,Both,Digestive diseases,Tobacco,29472.90607
Deaths,Southeast Asia,Both,Diabetes and kidney diseases,Tobacco,29472.00101
DALYs (Disability-Adjusted Life Years),Central Latin America,Female,Neurological disorders,Tobacco,29456.00621
DALYs (Disability-Adjusted Life Years),Western Europe,Female,Sexually transmitted infections excluding HIV,Unsafe sex,29424.59396
Deaths,Central Latin America,Male,Diabetes and kidney diseases,High systolic blood pressure,29406.62813
DALYs (Disability-Adjusted Life Years),Central Sub-Saharan Africa,Female,Chronic respiratory diseases,High body-mass index,29381.71107
Deaths,South Asia,Both,Cancer,High body-mass index,29375.49777
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Female,Cancer,Occupational risks,29365.39872
Deaths,World Bank High Income,Both,Cancer,Drug use,29352.91444
DALYs (Disability-Adjusted Life Years),High-income Asia Pacific,Male,Digestive diseases,Tobacco,29339.92143
DALYs (Disability-Adjusted Life Years),Central Asia,Female,Chronic respiratory diseases,Occupational risks,29334.08092
DALYs (Disability-Adjusted Life Years),Greece,Male,Diabetes and kidney diseases,Impaired kidney function,29325.29012
Deaths,East Asia,Both,Transport injuries,Alcohol use,29300.77628
Deaths,East Asia,Both,Digestive diseases,Drug use,29265.11911
Deaths,World Bank Lower Middle Income,Both,Transport injuries,Low bone mineral density,29214.7862
Deaths,North Africa and Middle East,Both,Enteric infections,"Unsafe water, sanitation, and handwashing",29209.56171
Deaths,World Bank Low Income,Both,Diabetes and kidney diseases,High body-mass index,29201.81364
Deaths,Central Europe,Female,Cardiovascular diseases,Low physical activity,29191.44468
Deaths,Global,Female,Substance use disorders,Alcohol use,29187.24856
Deaths,United Kingdom,Both,Cardiovascular diseases,High body-mass index,29127.96752
Deaths,Southern Sub-Saharan Africa,Male,Cardiovascular diseases,High systolic blood pressure,29125.3261
DALYs (Disability-Adjusted Life Years),High-income Asia Pacific,Female,Transport injuries,Occupational risks,29123.05266
Deaths,South Asia,Male,Unintentional injuries,Occupational risks,29112.08424
Deaths,Global,Female,Transport injuries,Low bone mineral density,29065.13747
DALYs (Disability-Adjusted Life Years),High-income North America,Both,HIV/AIDS,Drug use,29053.35197
DALYs (Disability-Adjusted Life Years),Greece,Female,Musculoskeletal disorders,Tobacco,29039.87675
Deaths,Eastern Europe,Male,Cancer,Alcohol use,28987.6282
Deaths,Western Europe,Both,Unintentional injuries,Low bone mineral density,28978.64351
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,Interpersonal violence,Alcohol use,28948.5721
DALYs (Disability-Adjusted Life Years),Eastern Europe,Female,Neurological disorders,Alcohol use,28945.96286
Deaths,High-income Asia Pacific,Both,Respiratory infections and tuberculosis,Tobacco,28935.82982
DALYs (Disability-Adjusted Life Years),Southern Latin America,Both,Enteric infections,Child and maternal malnutrition,28922.311
Deaths,South Asia,Male,Unintentional injuries,Low bone mineral density,28895.50548
DALYs (Disability-Adjusted Life Years),Caribbean,Female,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",28891.19919
Deaths,South Asia,Male,Substance use disorders,Alcohol use,28826.10815
Deaths,East Asia,Both,HIV/AIDS,Unsafe sex,28801.5419
DALYs (Disability-Adjusted Life Years),Southern Sub-Saharan Africa,Male,Neurological disorders,Alcohol use,28780.94104
Deaths,Eastern Europe,Both,Cancer,High body-mass index,28777.00513
DALYs (Disability-Adjusted Life Years),Andean Latin America,Both,Neurological disorders,Alcohol use,28767.1008
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Female,Digestive diseases,High body-mass index,28725.22319
Deaths,World Bank Lower Middle Income,Female,Chronic respiratory diseases,High body-mass index,28691.14435
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Female,HIV/AIDS,Intimate partner violence,28676.27792
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,HIV/AIDS,Intimate partner violence,28676.27792
Deaths,Eastern Europe,Both,Diabetes and kidney diseases,High fasting plasma glucose,28645.05381
DALYs (Disability-Adjusted Life Years),Andean Latin America,Male,Diabetes and kidney diseases,Tobacco,28641.19712
Deaths,Southern Sub-Saharan Africa,Both,Cardiovascular diseases,High body-mass index,28637.23843
Deaths,Western Sub-Saharan Africa,Female,Diabetes and kidney diseases,High fasting plasma glucose,28619.74709
DALYs (Disability-Adjusted Life Years),Eastern Europe,Female,HIV/AIDS,Intimate partner violence,28609.42212
DALYs (Disability-Adjusted Life Years),Eastern Europe,Both,HIV/AIDS,Intimate partner violence,28609.42212
Deaths,World Bank Low Income,Both,Respiratory infections and tuberculosis,High fasting plasma glucose,28586.86031
Deaths,Tropical Latin America,Both,Cardiovascular diseases,Air pollution,28585.60451
Deaths,East Asia,Both,Unintentional injuries,Occupational risks,28564.64668
DALYs (Disability-Adjusted Life Years),Andean Latin America,Male,Cancer,High body-mass index,28561.16215
DALYs (Disability-Adjusted Life Years),Southern Sub-Saharan Africa,Male,Mental disorders,Childhood maltreatment,28558.09034
Deaths,Caribbean,Female,Cardiovascular diseases,High systolic blood pressure,28555.6228
DALYs (Disability-Adjusted Life Years),Central Asia,Both,Neurological disorders,High fasting plasma glucose,28552.06656
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Female,Sense organ diseases,High body-mass index,28551.66879
DALYs (Disability-Adjusted Life Years),Australasia,Both,Chronic respiratory diseases,Air pollution,28497.72687
DALYs (Disability-Adjusted Life Years),United Kingdom,Male,Cardiovascular diseases,Other environmental risks,28442.26291
Deaths,Western Sub-Saharan Africa,Female,Cardiovascular diseases,Air pollution,28439.68732
DALYs (Disability-Adjusted Life Years),United Kingdom,Female,Respiratory infections and tuberculosis,Tobacco,28431.60993
Deaths,World Bank Upper Middle Income,Male,Unintentional injuries,Low bone mineral density,28430.54536
DALYs (Disability-Adjusted Life Years),Central Europe,Female,Cancer,Other environmental risks,28401.04178
Deaths,Central Latin America,Both,Cancer,Tobacco,28391.48511
Deaths,World Bank Upper Middle Income,Both,Nutritional deficiencies,Child and maternal malnutrition,28381.34966
Deaths,East Asia,Both,Self-harm,Alcohol use,28375.06826
DALYs (Disability-Adjusted Life Years),Caribbean,Female,Substance use disorders,Alcohol use,28372.69087
Deaths,Australasia,Both,Cardiovascular diseases,High systolic blood pressure,28367.31011
Deaths,Southeast Asia,Both,Digestive diseases,Alcohol use,28341.11465
Deaths,East Asia,Male,Transport injuries,Alcohol use,28315.34809
DALYs (Disability-Adjusted Life Years),Central Asia,Male,HIV/AIDS,Drug use,28286.25527
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Female,Digestive diseases,Alcohol use,28273.41263
Deaths,High-income North America,Female,Cancer,High body-mass index,28269.96848
DALYs (Disability-Adjusted Life Years),Southeast Asia,Female,Sense organ diseases,High body-mass index,28222.25244
DALYs (Disability-Adjusted Life Years),Andean Latin America,Male,Cardiovascular diseases,Other environmental risks,28219.58913
Deaths,World Bank Low Income,Male,Chronic respiratory diseases,Tobacco,28202.82427
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Both,Sense organ diseases,High fasting plasma glucose,28186.48534
DALYs (Disability-Adjusted Life Years),Central Latin America,Female,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",28178.36172
Deaths,Western Sub-Saharan Africa,Male,Nutritional deficiencies,Child and maternal malnutrition,28169.40903
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Female,Neurological disorders,High fasting plasma glucose,28165.84662
Deaths,High-income North America,Both,Neurological disorders,Tobacco,28157.12831
Deaths,World Bank Lower Middle Income,Both,Substance use disorders,Drug use,28131.83159
DALYs (Disability-Adjusted Life Years),Greece,Male,Musculoskeletal disorders,Tobacco,28123.45618
DALYs (Disability-Adjusted Life Years),Southern Sub-Saharan Africa,Female,Other infectious diseases,Child and maternal malnutrition,28099.63858
DALYs (Disability-Adjusted Life Years),Oceania,Male,Diabetes and kidney diseases,Air pollution,28086.84252
Deaths,World Bank High Income,Male,Digestive diseases,Drug use,28075.24855
DALYs (Disability-Adjusted Life Years),Central Latin America,Female,Interpersonal violence,Alcohol use,28063.61543
DALYs (Disability-Adjusted Life Years),Southeast Asia,Male,Substance use disorders,Childhood maltreatment,28044.75098
DALYs (Disability-Adjusted Life Years),United Kingdom,Male,Cancer,Air pollution,28042.99544
DALYs (Disability-Adjusted Life Years),Western Europe,Male,Substance use disorders,Childhood maltreatment,28041.86361
Deaths,Western Sub-Saharan Africa,Male,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",28039.33263
DALYs (Disability-Adjusted Life Years),Central Europe,Male,Unintentional injuries,Tobacco,28017.55621
Deaths,Western Sub-Saharan Africa,Female,Nutritional deficiencies,Child and maternal malnutrition,27998.51119
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,Other non-communicable diseases,Child and maternal malnutrition,27987.51354
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,Transport injuries,Tobacco,27977.5608
DALYs (Disability-Adjusted Life Years),East Asia,Male,Sense organ diseases,High fasting plasma glucose,27951.61218
DALYs (Disability-Adjusted Life Years),Central Asia,Male,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",27947.14738
DALYs (Disability-Adjusted Life Years),High-income Asia Pacific,Female,Cancer,Low physical activity,27942.12058
DALYs (Disability-Adjusted Life Years),Tropical Latin America,Female,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",27913.40371
Deaths,Caribbean,Both,Cardiovascular diseases,High LDL cholesterol,27893.23032
Deaths,Southeast Asia,Male,Chronic respiratory diseases,Occupational risks,27890.08346
Deaths,Western Europe,Male,Diabetes and kidney diseases,High systolic blood pressure,27863.70397
DALYs (Disability-Adjusted Life Years),Andean Latin America,Both,Unintentional injuries,Low bone mineral density,27824.89025
DALYs (Disability-Adjusted Life Years),Central Latin America,Female,Maternal disorders,Child and maternal malnutrition,27785.36082
DALYs (Disability-Adjusted Life Years),Central Latin America,Both,Maternal disorders,Child and maternal malnutrition,27785.36082
DALYs (Disability-Adjusted Life Years),Australasia,Female,Cardiovascular diseases,Low physical activity,27782.28072
Deaths,South Asia,Female,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",27759.27353
DALYs (Disability-Adjusted Life Years),East Asia,Female,Maternal disorders,Child and maternal malnutrition,27745.84814
DALYs (Disability-Adjusted Life Years),East Asia,Both,Maternal disorders,Child and maternal malnutrition,27745.84814
DALYs (Disability-Adjusted Life Years),Southern Latin America,Both,Cancer,Drug use,27739.3783
Deaths,Central Europe,Both,Cancer,Dietary risks,27739.14799
Deaths,Eastern Sub-Saharan Africa,Male,Respiratory infections and tuberculosis,Tobacco,27737.17138
DALYs (Disability-Adjusted Life Years),East Asia,Both,Interpersonal violence,Low bone mineral density,27711.05084
DALYs (Disability-Adjusted Life Years),Central Latin America,Both,Cancer,Other environmental risks,27690.199
Deaths,Central Europe,Male,Cardiovascular diseases,Air pollution,27681.85995
DALYs (Disability-Adjusted Life Years),Central Asia,Female,Neurological disorders,High body-mass index,27664.29516
Deaths,Eastern Sub-Saharan Africa,Female,Cardiovascular diseases,High fasting plasma glucose,27643.89737
DALYs (Disability-Adjusted Life Years),East Asia,Female,Other infectious diseases,Child and maternal malnutrition,27589.85482
DALYs (Disability-Adjusted Life Years),United Kingdom,Male,Chronic respiratory diseases,High body-mass index,27583.12416
Deaths,Western Europe,Female,Diabetes and kidney diseases,High body-mass index,27580.85319
Deaths,World Bank Lower Middle Income,Female,Respiratory infections and tuberculosis,Alcohol use,27574.87298
Deaths,Eastern Sub-Saharan Africa,Male,Cardiovascular diseases,Air pollution,27543.99351
DALYs (Disability-Adjusted Life Years),High-income Asia Pacific,Both,Sexually transmitted infections excluding HIV,Unsafe sex,27516.05993
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Female,Respiratory infections and tuberculosis,High fasting plasma glucose,27515.65438
DALYs (Disability-Adjusted Life Years),South Asia,Female,Sense organ diseases,Tobacco,27489.89027
DALYs (Disability-Adjusted Life Years),Central Europe,Male,Chronic respiratory diseases,High body-mass index,27454.01132
DALYs (Disability-Adjusted Life Years),Central Sub-Saharan Africa,Female,Cancer,Tobacco,27439.69979
DALYs (Disability-Adjusted Life Years),Southern Sub-Saharan Africa,Female,Mental disorders,Childhood maltreatment,27431.01524
DALYs (Disability-Adjusted Life Years),Central Asia,Male,Cancer,Drug use,27429.10516
Deaths,Southeast Asia,Both,Cancer,High fasting plasma glucose,27411.16138
Deaths,High-income North America,Male,Cancer,Alcohol use,27407.17608
DALYs (Disability-Adjusted Life Years),Greece,Male,Cancer,Alcohol use,27404.31683
Deaths,World Bank Low Income,Female,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",27399.49579
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Female,Transport injuries,Alcohol use,27394.41254
Deaths,World Bank Lower Middle Income,Male,Unintentional injuries,Alcohol use,27360.23019
Deaths,Southeast Asia,Female,Cardiovascular diseases,Low physical activity,27357.17066
DALYs (Disability-Adjusted Life Years),Australasia,Both,Neurological disorders,Tobacco,27356.47433
DALYs (Disability-Adjusted Life Years),Caribbean,Female,Cancer,High fasting plasma glucose,27350.06815
DALYs (Disability-Adjusted Life Years),Southern Latin America,Both,Self-harm,Drug use,27334.2103
DALYs (Disability-Adjusted Life Years),Greece,Both,Cancer,Dietary risks,27329.57241
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Male,Other non-communicable diseases,Child and maternal malnutrition,27314.18298
DALYs (Disability-Adjusted Life Years),Central Latin America,Both,Sense organ diseases,High fasting plasma glucose,27294.68712
Deaths,East Asia,Both,Diabetes and kidney diseases,Tobacco,27294.48889
DALYs (Disability-Adjusted Life Years),Greece,Both,Cancer,High fasting plasma glucose,27282.64226
Deaths,East Asia,Female,Neurological disorders,High body-mass index,27261.59629
DALYs (Disability-Adjusted Life Years),Andean Latin America,Male,Musculoskeletal disorders,High body-mass index,27257.54035
Deaths,Western Sub-Saharan Africa,Male,Cardiovascular diseases,High LDL cholesterol,27232.34775
DALYs (Disability-Adjusted Life Years),Southeast Asia,Female,Digestive diseases,Drug use,27206.59778
Deaths,World Bank High Income,Both,Respiratory infections and tuberculosis,Alcohol use,27188.29464
Deaths,Western Europe,Both,Diabetes and kidney diseases,Dietary risks,27176.77681
Deaths,Tropical Latin America,Both,Cardiovascular diseases,Impaired kidney function,27175.58392
DALYs (Disability-Adjusted Life Years),Australasia,Male,Cardiovascular diseases,Air pollution,27156.66126
DALYs (Disability-Adjusted Life Years),High-income North America,Female,Digestive diseases,High body-mass index,27143.2192
DALYs (Disability-Adjusted Life Years),Caribbean,Both,Neurological disorders,Tobacco,27134.8989
Deaths,Tropical Latin America,Female,Cardiovascular diseases,Tobacco,27123.93527
DALYs (Disability-Adjusted Life Years),Tropical Latin America,Female,Transport injuries,Alcohol use,27089.27418
DALYs (Disability-Adjusted Life Years),Tropical Latin America,Female,Unintentional injuries,Alcohol use,27044.75494
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Female,Other non-communicable diseases,Child and maternal malnutrition,27038.41511
Deaths,High-income North America,Both,Cardiovascular diseases,Other environmental risks,27037.80776
Deaths,East Asia,Male,Neonatal disorders,Child and maternal malnutrition,27026.84496
Deaths,Southern Sub-Saharan Africa,Both,Cardiovascular diseases,High fasting plasma glucose,27015.2542
Deaths,Western Europe,Male,Neurological disorders,Tobacco,26991.42774
Deaths,High-income Asia Pacific,Both,Diabetes and kidney diseases,High systolic blood pressure,26989.54139
DALYs (Disability-Adjusted Life Years),World Bank High Income,Female,Musculoskeletal disorders,Impaired kidney function,26988.96007
DALYs (Disability-Adjusted Life Years),Caribbean,Male,Chronic respiratory diseases,Occupational risks,26969.62101
Deaths,East Asia,Male,Self-harm,Alcohol use,26964.05206
Deaths,Eastern Sub-Saharan Africa,Male,Nutritional deficiencies,Child and maternal malnutrition,26897.12823
DALYs (Disability-Adjusted Life Years),World Bank Low Income,Male,Cancer,Other environmental risks,26874.79828
DALYs (Disability-Adjusted Life Years),Central Sub-Saharan Africa,Male,Interpersonal violence,Alcohol use,26837.8342
DALYs (Disability-Adjusted Life Years),Caribbean,Female,Maternal disorders,Child and maternal malnutrition,26834.6449
DALYs (Disability-Adjusted Life Years),Caribbean,Both,Maternal disorders,Child and maternal malnutrition,26834.6449
DALYs (Disability-Adjusted Life Years),Eastern Europe,Female,Transport injuries,Occupational risks,26810.3266
DALYs (Disability-Adjusted Life Years),Central Europe,Both,Substance use disorders,Childhood maltreatment,26800.29407
Deaths,Caribbean,Male,Cardiovascular diseases,Dietary risks,26782.20173
DALYs (Disability-Adjusted Life Years),Andean Latin America,Female,Enteric infections,Child and maternal malnutrition,26763.55152
DALYs (Disability-Adjusted Life Years),Australasia,Male,Cardiovascular diseases,Impaired kidney function,26762.01273
DALYs (Disability-Adjusted Life Years),Greece,Both,Cancer,High body-mass index,26754.8085
Deaths,Global,Female,Cancer,Other environmental risks,26748.99023
DALYs (Disability-Adjusted Life Years),United Kingdom,Female,Diabetes and kidney diseases,Tobacco,26744.16637
Deaths,World Bank Lower Middle Income,Female,Neurological disorders,High body-mass index,26740.03185
DALYs (Disability-Adjusted Life Years),Central Europe,Both,Sense organ diseases,Tobacco,26727.0205
Deaths,World Bank Low Income,Male,Chronic respiratory diseases,Air pollution,26693.52957
Deaths,Western Europe,Male,Chronic respiratory diseases,Air pollution,26666.61765
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Male,Neurological disorders,Tobacco,26633.514
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Male,Cancer,Drug use,26616.0428
Deaths,High-income North America,Male,Cardiovascular diseases,Air pollution,26607.25725
DALYs (Disability-Adjusted Life Years),Central Asia,Female,Sense organ diseases,Occupational risks,26573.61187
DALYs (Disability-Adjusted Life Years),Southern Latin America,Female,Digestive diseases,Alcohol use,26569.5829
DALYs (Disability-Adjusted Life Years),Caribbean,Female,Cancer,Dietary risks,26560.25314
DALYs (Disability-Adjusted Life Years),Australasia,Both,Diabetes and kidney diseases,Air pollution,26534.51427
DALYs (Disability-Adjusted Life Years),Australasia,Female,Cardiovascular diseases,Impaired kidney function,26506.85792
Deaths,World Bank Lower Middle Income,Male,Other infectious diseases,Child and maternal malnutrition,26483.67972
Deaths,World Bank High Income,Male,Unintentional injuries,Low bone mineral density,26482.66374
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Male,Cancer,Occupational risks,26453.83128
DALYs (Disability-Adjusted Life Years),Southern Latin America,Male,Enteric infections,"Unsafe water, sanitation, and handwashing",26430.73559
DALYs (Disability-Adjusted Life Years),East Asia,Male,Digestive diseases,High body-mass index,26419.37312
Deaths,North Africa and Middle East,Both,Enteric infections,Child and maternal malnutrition,26407.51895
Deaths,Western Sub-Saharan Africa,Male,Cardiovascular diseases,Air pollution,26378.3378
Deaths,Eastern Europe,Male,Digestive diseases,Alcohol use,26369.82797
DALYs (Disability-Adjusted Life Years),Oceania,Male,Diabetes and kidney diseases,Tobacco,26354.77874
DALYs (Disability-Adjusted Life Years),Greece,Male,Cardiovascular diseases,Low physical activity,26354.48737
