country,type,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Netherlands,oil,1065.3,1155.2,1180.7,1273.5,1389,1544.5,1525.6,1702,1756.5,1506,1484.9,1671.2,1603.9,1638.7,1765.6,1651.2,1536.7,1343,1272.7,1256.4,1271.3,1409.6,1419.7,1506.4,1486.4,1542.7,1480.9,1554.8,1536.3,1526.6,1610.9,1610.6,1673.1,1693,1725.5,1750.3,1835,1843.4,1846.1,1931.1,2049.9,2041.5,2100.7,1997.6,1908.3,1943.7,1967.2,1867.9,1774.9,1693.4,1653.1,1705.9,1641.2,1682.3,1651.8,1509.8,1513.1
North Macedonia,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.9,41.1,44.2,47.6,37,34.8,52.8,44.3,39.9,39.9,40.6,33.2,37.5,36.3,37,38.1,40.1,43.5,39.2,41,39.5,40.9,39.6,38.6,38.3,41.1,46.1,43.9,42.1,45.8,42.2,49
Norway,oil,217.1,245.1,253.8,282.3,310.3,349.3,345.6,362,367.8,334.6,346.4,383.2,377.5,420,417.6,403.5,375.1,360.4,353.9,367.8,386,413.9,412.5,387.3,391.8,377.1,348.9,359.4,379.8,387.5,383.1,410.3,415.8,416.6,413.1,382.8,434.3,420.5,434,424.8,423.4,433,430.4,424.3,428.5,437.8,430.1,420.7,435.3,413.6,413.5,399.7,397.7,408.9,394.5,377.5,378
Poland,oil,231.9,241.2,261.8,327.6,360.3,381,404,453.4,503,529.7,576.6,636.5,681.1,728.4,742.7,733.5,687.7,649.4,671.2,689,700.5,723.5,732.9,750.7,745.6,683.1,645.1,589.6,608.2,641.4,649.6,758.9,791,899.6,942.3,866.3,846.3,862.6,876.1,936.2,968.2,1049.6,1086.5,1114.8,1102.6,1163,1158.4,1114.9,1036.7,1040.7,1088.3,1196,1298,1331.4,1357.1,1285.2,1378
Portugal,oil,109.9,112.7,124.3,133.3,139.9,193.3,219.3,238.6,262.3,279.6,292.8,306.7,303.4,314.5,336.3,360,381.6,399.6,403.3,402.5,390,415.7,403.8,422.9,532.4,489.8,510.9,563.1,531.9,530.7,598.8,569.8,610.6,669.4,692.8,679.4,678.3,700.5,656.8,666.6,688.3,609.4,618.4,597.7,553.7,541.7,508.8,463.3,478.3,486.3,482,491.3,489.6,486.9,503.3,410,421.9
Romania,oil,304.4,317.3,359.6,379.2,422.7,458.2,465.4,496.8,558.9,514.6,585.1,652.8,705.2,784.4,834.3,789.8,708,697.5,623.2,596.5,637.8,683.6,753.5,706.2,728.2,792.1,657.5,538.4,510.4,473.5,571.7,548.1,573.3,502.6,399.2,419.5,447,450.9,400.4,458.8,443.7,437.8,438.8,436.4,388.3,370.4,380.5,383,349.5,375.1,381.3,399.3,418,429.6,445.5,418.2,455.1
Slovakia,oil,97.4,107.5,119.6,132.1,141.7,170.3,187.6,205.2,230.7,236.6,261,275.9,288.7,298.7,303.6,282.4,278.4,255.1,249.7,265.5,263.6,255.1,249.7,244,241.9,210.2,184.7,168,139,144,140,146,145.8,163.3,148.1,147.1,136.3,151.9,143.3,136.9,164,145.9,154,166.1,156.1,163.6,161,149.3,149.5,138.6,150,156.1,175.6,178.1,169.3,168.2,176.6
Slovenia,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.6,70.2,68.1,81.9,88.6,96.1,111,111.1,106.5,107,101.4,105.7,102.7,104.1,107.5,109.2,114.4,112.9,131,111.4,111.8,111.4,109.1,103.2,102,100.5,107.9,110.5,113.5,108.2,90.6,96.2
Spain,oil,599,708.6,858.5,911.9,1038.2,1184.3,1303.6,1374.5,1651.1,1730.7,1799.7,2041.3,1927.3,1984.6,2103.5,2227.2,2156.5,2038.6,2042.8,1926.7,1854.8,1837.7,1929.9,1976,2070.6,2003.8,2047.1,2294.5,2188.4,2298.8,2445.4,2511.3,2609.4,2828.2,2926.5,2965,3089.3,3114.9,3188.6,3263.8,3291.9,3313.8,3338.3,3222.6,3023.5,2942.4,2808,2624.6,2467,2460.6,2543.5,2628.8,2642.4,2693,2695.4,2214.3,2450.4
Sweden,oil,826.9,934.8,931.6,1053.8,1128.7,1228.1,1154.9,1185.4,1211.7,1088.3,1085.3,1196.7,1160.4,1400.6,1507.8,1330.7,1196.8,1112.6,967.2,924.1,990.8,1058.2,913.6,855.2,821.6,819.9,706.4,744.1,731.3,774.5,736.5,787.6,739.2,834,801.4,691.6,703.5,714.4,765.5,732.9,733.8,739.9,722.2,682.1,656.4,655.1,607.4,598.4,590.7,578.1,566.9,585.3,579.3,553.2,592.7,529.1,537.3
Switzerland,oil,347,368.9,399,442.6,481.3,539.3,572.3,586.8,631.5,562,540.4,561.7,564.6,578.9,554.9,554.5,513.1,484.8,530.4,513.5,522.5,571.9,538.7,540.2,518.4,555.5,565,572.9,536.8,554.8,514.1,532.5,560.3,567.2,550.3,533.8,571.3,541.5,527,524.4,533.9,547.2,493.6,526.1,534.4,496,481.1,490.1,513,459.9,465.6,440,450.9,434.6,444.2,370.5,372.1
Turkey,oil,151.2,180.4,211.9,254.5,283.2,300,355.6,403.2,491.6,478.3,528.3,596.8,675.8,723.9,644.7,657.7,648.1,693.6,729.4,725.9,760.4,823.5,929.3,987.6,930.7,988.2,962.9,1017.2,1165.5,1114.5,1249.7,1305.3,1285.6,1283.3,1277.3,1338.6,1245.6,1331.7,1312.5,1342,1324.9,1377.4,1402.3,1383.2,1407.8,1372.3,1342.9,1410.9,1508.7,1551.9,1848,1977.1,2074.1,2001.4,2009.8,1839.6,1888.8
Ukraine,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2735.6,2745,2854,2620.8,2504.9,2778.6,2663.6,1706.6,1228.1,1061.6,1100.9,683.3,790.5,723.1,544.7,512.6,565.4,574.3,594.1,597.6,612.8,628.5,649.4,622.4,605.4,582.3,579.9,575.1,545.2,480.9,430.1,450.6,452.8,470.5,464.3,438.4,457.7
