Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
PrepTimeCovidnotCOVID,71.68951049,60.15744681,,,,,,,,,,,,
PrepTimeCovidtracking,8.877272727,14.05744681,,,,,,,,,,,,
PrepTimeCovidtalking,5.999300699,9.687234043,,,,,,,,,,,,
PrepTimeCovidnewrelationships,5.595454545,3.371794872,,,,,,,,,,,,
PrepTimeCovidmedical,1.242657343,1.884120172,,,,,,,,,,,,
PrepTimeCovidfood,1.697902098,3.756410256,,,,,,,,,,,,
PrepTimeCovidwater,0.637412587,1.165957447,,,,,,,,,,,,
PrepTimeCovidpower,0.315734266,0.489361702,,,,,,,,,,,,
PrepTimeCovidhomedefense,0.179370629,0.324786325,,,,,,,,,,,,
PrepTimeCovidfinancial,1.878671329,2.863247863,,,,,,,,,,,,
PrepTimeCovidbarter,0.944912281,0.953191489,,,,,,,,,,,,
PrepTimeCovidother,0.948421053,1.360515021,,,,,,,,,,,,
PrepCOVIDPoliticalLeaders,4.010033445,4.69140625,,,,,,,,,,,,
PrepCOVIDLocalGov,4.321678322,4.869047619,,,,,,,,,,,,
PrepCOVIDNationalHealthcare,5.666666667,6.388235294,,,,,,,,,,,,
PrepCOVIDLocalHealthcare,5.258741259,5.919491525,,,,,,,,,,,,
PrepCOVIDNationalMedia,3.421568627,3.89453125,,,,,,,,,,,,
PrepCOVIDLocalMedia,3.487889273,3.905982906,,,,,,,,,,,,
PrepCOVIDAirline,4.339483395,4.618644068,,,,,,,,,,,,
PrepCOVIDEmployer,5.040540541,5.694300518,,,,,,,,,,,,
PrepCOVIDExtendedFamily,5.284090909,6.163793103,,,,,,,,,,,,
PrepCOVIDSigOther,5.825112108,6.819148936,,,,,,,,,,,,
PrepCOVIDParents,5.817857143,6.851851852,,,,,,,,,,,,
PrepCOVIDSiblings,5.53515625,6.563380282,,,,,,,,,,,,
Howmuch,153.3806228,106.6008403,,,,,,,,,,,,
Currency,2.8,2.556862745,,,2.644,2.559610706,2.608597285,2.66992665,2.592997812,2.620614035,2.656903766,2.641255605,2.56122449,2.601965602
CPR1,4.853968254,4.726923077,,,,,,,,,,,,
CPR2,5.425396825,5.307692308,,,,,,,,,,,,
CPR3,6.292993631,6.215384615,,,,,,,,,,,,
Delay1,3.340764331,4.437984496,,,,,,,,,,,,
TemporalDiscounting,,2.399224806,,,,,,,,,,,,
FutureWorld,,4.711538462,4.796703297,4.669411765,4.538567493,4.519872814,4.53147877,4.592203898,4.528275862,4.582402235,4.589709763,,4.620689655,4.550810015
SocialDistnacing1,,5.284615385,,,,,,,,,,,,
SocialDistnacing2,,4.938461538,,,,,,,,,,,,
Isolate1,,,6.184818482,6.174734357,6.106412005,6.02866242,5.99272198,5.827844311,5.857931034,5.80334728,5.752645503,,5.764890282,5.615952733
Isolate2,,,6.438461538,6.423349057,6.424863388,6.286624204,6.308588064,6.214071856,6.048275862,6.054393305,6.080687831,,6.032967033,5.889380531
Isolate3,,,5.323076923,5.486935867,5.388203018,5.086538462,4.584795322,4.097451274,3.462707182,3.331005587,3.104774536,,3.300314465,3.029455081
Altruistic,,,2.687912088,2.683274021,2.721917808,2.876602564,2.957664234,3.27518797,3.407458564,3.415620642,3.476882431,,3.606583072,3.65140325
HoursworkedOutside,,,4.78080308,3.842167256,4.647249191,4.988826816,5.466887417,6.583747927,7.78778626,7.888721805,9.218309859,9.003030303,10.07248764,8.605919003
HoursWorkHome,,,14.86383682,14.93036557,15.54424779,14.53794266,15.94672755,14.94470774,13.94797688,13.78362573,12.17704011,11.45970149,11.72374798,10.93445122
HoursSpentOthers,,,2.397571744,1.562609209,1.97392638,2.555178268,3.203363914,4.611893584,5.428571429,5.93598862,6.787348587,8.399709302,7.140822785,7.269345238
HoursInContact,,,12.78656388,12.74174528,12.78947368,12.256,11.62280702,11.12859304,10.6545961,9.915492958,10.00666667,9.540697674,9.716772152,9.089153046
HoursVolunteer,,,,,0.901279707,0.96007984,0.926444834,1.255395683,0.623794212,0.778481013,0.81547619,0.747993579,0.921768707,0.747145188
MoneyDonated,,,9.232389581,7.98737338,15.04913295,26.75865052,7.1035313,8.170205479,6.280780781,4.395023328,4.39380531,2411.434992,2.765541741,2.807432432
HoursworkedOutsideOriginal,,,4.990924092,4.16254417,,,,,,,,,,
HoursWorkHomeOriginal,,,15.83792723,16.08130896,,,,,,,,,,
HoursSpentOthersOriginal,,,2.898675497,1.814085006,,,,,,,,,,
HoursInContactOriginal,,,16.16101322,15.09787736,,,,,,,,,,
aidindividuals,,,34.66225547,,,,,,,,,,,
aidsmallbusiness,,,24.40057471,,,,,,,,,,,
aidlargebusiness,,,15.34425287,,,,,,,,,,,
aidbanks,,,9.473532796,,,,,,,,,,,
aidgovernment,,,16.30379747,,,,,,,,,,,
MostImportant,,,1.605088496,1.578327444,1.792349727,1.977707006,2.091703057,2.274362819,2.335172414,2.319386332,2.354497354,,2.369905956,2.399705015
discounting,,,5.245865491,5.467608952,5.656634747,5.671974522,5.790393013,5.727136432,5.815172414,5.751743375,5.822751323,5.956896552,5.990595611,5.926253687
StartedPreparing,,,,,0.883211679,0.90960452,0.902849741,,,,,,,
WeeksAgoPrepare,,,,,5.110957004,7.053104575,9.142537313,,,,,,,
ContractedCovid,,,,,1.12636695,1.13700565,1.113989637,1.110519308,1.107586207,1.14,1.122691293,1.11637931,1.152037618,1.129602356
WeeksSinceCovid,,,,,3.821428571,5.3625,7.184210526,7.973333333,9.666666667,9.52688172,10.49056604,9.405660377,10.77777778,10.8
TestedCovid,,,,,1.599022005,1.616714697,1.554707379,1.53117207,1.551351351,1.56379822,1.563002681,1.58953168,1.566978193,1.601123596
KnowSomeoneInfected,,,,,1.654456654,1.729844413,1.718547341,1.713715047,1.671745152,,,,,
HowManyInfected,,,,,,,,,1.917266187,1.098310292,1.283842795,1.380503145,1.688963211,2.00311042
CouldInfect,,,,,,,,,6.041436464,,,,,
Careful,,,,,,,,,,,,,,4.863703704
WashHands,,,,,,,,,,,,,,5.647492625
Askingforhelp1,,,,,2.483516484,2.501592357,2.483965015,2.524663677,2.270457698,,,,,
Askingforhelp2,,,,,4.02892562,4.14057508,4.088921283,4.011976048,3.674482759,,,,,
Askingforhelp3,,,,,2.914835165,2.891547049,2.760583942,2.863976084,2.453793103,,,,,
Askingforhelp4,,,,,3.472527473,3.449044586,3.371720117,3.293853073,2.965373961,,,,,
Askingforhelp5,,,,,2.744154058,2.854864434,2.696925329,2.771300448,2.408275862,,,,,
Askingforhelp6,,,,,1.797520661,1.869009585,1.855051245,1.935435435,1.71862069,,,,,
Askingforhelp7,,,,,3.652472527,3.813694268,3.919708029,3.856502242,3.788674033,,,,,
Givinghelp1,,,,,3.870879121,3.877388535,3.778425656,3.717488789,3.18395574,,,,,
Givinghelp2,,,,,5.309065934,5.291401274,5.128654971,4.998502994,4.87517337,,,,,
Givinghelp3,,,,,4.616231087,4.606687898,4.309037901,4.296851574,3.846473029,,,,,
Givinghelp4,,,,,3.976616231,4.003189793,3.852554745,3.757121439,3.494459834,,,,,
Givinghelp5,,,,,3.547586207,3.584935897,3.391240876,3.408682635,3.109570042,,,,,
Givinghelp6,,,,,3.066024759,2.939393939,2.896046852,3.034482759,2.700831025,,,,,
Givinghelp7,,,,,5.392022008,5.415605096,5.301749271,5.329341317,5.150969529,,,,,
MaskAttitudes1,,,,,3.773662551,4.190174326,4.304664723,4.340807175,4.323651452,4.470013947,4.602377807,,4.762951334,4.798816568
MaskAttitudes2,,,,,4.301783265,4.662957075,4.672011662,4.739910314,4.680055402,4.828451883,4.876984127,,4.982731554,4.983775811
MaskAttitudes3,,,,,3.248968363,3.18858954,2.908296943,2.867867868,2.798063624,2.727272727,2.692206077,,2.623233909,2.494100295
MaskAttitudes4,,,,,4.980769231,5.255150555,5.297376093,5.27245509,5.172890733,5.377963738,5.445178336,,5.513343799,5.60619469
MaskAttitudes5,,,,,4.21399177,4.732171157,4.795918367,4.7877429,4.67867036,4.940027894,5,,5.213500785,5.418879056
WearMask,,,,,3.912429379,3.924590164,3.744807122,3.460122699,3.319775596,3.292439372,3.342354533,,3.492890995,3.396731055
